ssid,floorid,roomid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,219,111,2412,0,2412,"[-94, -90]",100,[-67]
1,219,111,2412,0,2417,"[-94, -90]",100,[-66]
1,219,111,2412,0,2422,"[-94, -90]",100,"[-74, -72]"
1,231,111,2412,0,2417,"[-93, -91, -89, -87]",100,[-68]
1,231,111,2412,0,2422,"[-93, -91, -89, -87]",100,[-71]
1,231,111,2412,0,2427,"[-93, -91, -89, -87]",100,[-85]
1,233,111,2412,0,2417,"[-93, -90]",100,"[-68, -64, -63]"
1,190,111,2412,2412,2417,"[-92, -88, -86, -84]","[-95, -94, -92, -89, -87]","[-68, -65, -64, -63]"
1,190,111,2412,2412,2422,"[-92, -88, -86, -84]","[-95, -94, -92, -89, -87]",[-67]
1,192,111,2412,0,2422,[-92],100,"[-76, -75]"
1,192,111,2412,0,2437,[-92],100,"[-77, -75, -73]"
1,234,111,2412,0,2412,"[-92, -90, -89]",100,[-66]
1,234,111,2412,0,2417,"[-92, -90, -89]",100,[-67]
1,234,111,2412,0,2422,"[-92, -90, -89]",100,[-68]
1,191,111,2412,2412,2417,"[-91, -90]",100,"[-72, -67]"
1,191,111,2412,2412,2422,"[-91, -90]",100,"[-72, -68]"
1,218,111,2412,0,2412,"[-91, -89]",100,[-68]
1,218,111,2412,0,2417,"[-91, -89]",100,"[-70, -69]"
1,218,111,2412,0,2422,"[-91, -89]",100,[-68]
1,228,111,2412,0,2417,[-91],100,"[-73, -69, -68, -67]"
1,230,111,2412,0,2412,"[-91, -90]",100,[-76]
1,230,111,2412,0,2417,"[-91, -90]",100,"[-69, -67, -66, -64]"
1,230,111,2412,0,2422,"[-91, -90]",100,[-72]
1,222,111,2412,0,2412,[-90],100,[-62]
1,222,111,2412,0,2417,[-90],100,[-60]
1,222,111,2412,0,2422,[-90],100,"[-72, -70, -66]"
1,225,111,2412,0,2412,[-90],100,[-61]
1,225,111,2412,0,2417,[-90],100,[-66]
1,225,111,2412,0,2427,[-90],100,[-68]
1,235,111,2412,0,2412,"[-90, -89, -88]",100,[-65]
1,235,111,2412,0,2417,"[-90, -89, -88]",100,"[-71, -69]"
1,235,111,2412,0,2422,"[-90, -89, -88]",100,[-65]
1,217,111,2412,0,2412,"[-89, -87]",100,[-66]
1,217,111,2412,0,2417,"[-89, -87]",100,"[-67, -64, -62]"
1,217,111,2417,0,2412,[-83],100,[-66]
1,217,111,2417,0,2417,[-83],100,"[-67, -64, -62]"
1,333,111,2412,0,2422,[-88],100,[-60]
1,333,111,2412,0,2427,[-88],100,"[-83, -80, -79, -76, -73]"
1,221,111,2412,2412,2412,[-87],[-94],"[-66, -65, -64, -63]"
1,221,111,2412,2412,2417,[-87],[-94],"[-78, -68, -65, -62]"
1,321,111,2412,0,2412,"[-87, -86]",100,[-60]
1,321,111,2412,0,2427,"[-87, -86]",100,[-69]
1,321,111,2417,0,2412,[-77],100,[-60]
1,321,111,2417,0,2427,[-77],100,[-69]
1,306,111,2412,0,2427,[-85],100,"[-78, -70, -67]"
1,349,111,2412,0,2427,"[-84, -81]",100,"[-67, -64, -63, -62, -60]"
1,331,111,2412,0,2412,[-82],100,[-58]
1,331,111,2417,0,2412,"[-88, -81, -80, -79, -75]",100,[-58]
1,331,111,2422,0,2412,[-75],100,[-58]
1,351,111,2412,2412,2412,[-82],100,[-56]
1,351,111,2412,2412,2417,[-82],100,[-50]
1,351,111,2412,2412,2427,[-82],100,"[-67, -66, -65]"
1,335,111,2412,0,2417,[-81],100,[-55]
1,335,111,2412,0,2427,[-81],100,"[-74, -70]"
1,295,111,2412,0,2412,[-79],100,[-65]
1,295,111,2412,0,2417,[-79],100,"[-62, -61]"
1,295,111,2417,0,2412,[-79],100,[-65]
1,295,111,2417,0,2417,[-79],100,"[-62, -61]"
1,315,111,2412,0,2427,[-79],100,"[-84, -77, -68]"
1,307,111,2412,0,2422,[-78],100,[-56]
1,307,111,2412,0,2427,[-78],100,[-72]
1,307,111,2417,0,2422,[-82],100,[-56]
1,307,111,2417,0,2427,[-82],100,[-72]
1,328,111,2412,0,2412,[-75],100,[-57]
1,328,111,2417,0,2412,"[-85, -75]",100,[-57]
1,332,111,0,2412,2412,100,[-99],"[-57, -55]"
1,332,111,0,2412,2417,100,[-99],[-51]
1,332,111,0,2412,2427,100,[-99],"[-70, -65]"
1,290,111,0,2412,2412,100,"[-98, -97]","[-63, -59]"
1,290,111,0,2412,2427,100,"[-98, -97]",[-72]
1,292,111,2417,2412,2412,"[-77, -76, -75, -74]",[-98],[-53]
1,292,111,2417,2412,2427,"[-77, -76, -75, -74]",[-98],"[-78, -66, -64]"
1,342,111,2417,2412,2412,[-76],[-97],[-57]
1,342,111,2417,2412,2427,[-76],[-97],[-72]
