ssid,floorid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,219,2412,0,2412,-94,-75,100
1,219,2412,0,2412,-94,-74,100
1,219,2412,0,2412,-94,-67,100
1,219,2412,0,2412,-90,-75,100
1,219,2412,0,2412,-90,-74,100
1,219,2412,0,2412,-90,-67,100
1,219,2412,0,2417,-94,-78,100
1,219,2412,0,2417,-94,-72,100
1,219,2412,0,2417,-94,-70,100
1,219,2412,0,2417,-94,-69,100
1,219,2412,0,2417,-94,-68,100
1,219,2412,0,2417,-94,-66,100
1,219,2412,0,2417,-94,-64,100
1,219,2412,0,2417,-94,-62,100
1,219,2412,0,2417,-90,-78,100
1,219,2412,0,2417,-90,-72,100
1,219,2412,0,2417,-90,-70,100
1,219,2412,0,2417,-90,-69,100
1,219,2412,0,2417,-90,-68,100
1,219,2412,0,2417,-90,-66,100
1,219,2412,0,2417,-90,-64,100
1,219,2412,0,2417,-90,-62,100
1,219,2412,0,2422,-94,-86,100
1,219,2412,0,2422,-94,-82,100
1,219,2412,0,2422,-94,-80,100
1,219,2412,0,2422,-94,-79,100
1,219,2412,0,2422,-94,-76,100
1,219,2412,0,2422,-94,-75,100
1,219,2412,0,2422,-94,-74,100
1,219,2412,0,2422,-94,-72,100
1,219,2412,0,2422,-94,-71,100
1,219,2412,0,2422,-94,-68,100
1,219,2412,0,2422,-90,-86,100
1,219,2412,0,2422,-90,-82,100
1,219,2412,0,2422,-90,-80,100
1,219,2412,0,2422,-90,-79,100
1,219,2412,0,2422,-90,-76,100
1,219,2412,0,2422,-90,-75,100
1,219,2412,0,2422,-90,-74,100
1,219,2412,0,2422,-90,-72,100
1,219,2412,0,2422,-90,-71,100
1,219,2412,0,2422,-90,-68,100
1,219,2412,0,2427,-94,-86,100
1,219,2412,0,2427,-90,-86,100
1,231,2412,0,2412,-93,-75,100
1,231,2412,0,2412,-93,-71,100
1,231,2412,0,2412,-93,-67,100
1,231,2412,0,2412,-91,-75,100
1,231,2412,0,2412,-91,-71,100
1,231,2412,0,2412,-91,-67,100
1,231,2412,0,2412,-89,-75,100
1,231,2412,0,2412,-89,-71,100
1,231,2412,0,2412,-89,-67,100
1,231,2412,0,2412,-87,-75,100
