ssid,floorid,roomid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,101,213,2412,2422,2412,-59,-64,-86
1,102,213,2412,2417,2412,-61,-68,-88
1,102,213,2412,2417,2412,-61,-68,-87
1,102,213,2412,2417,2412,-61,-66,-88
1,102,213,2412,2417,2412,-61,-66,-87
1,102,213,2412,2417,2417,-61,-68,-78
1,102,213,2412,2417,2417,-61,-66,-78
1,102,213,2412,2422,2412,-61,-63,-88
1,102,213,2412,2422,2412,-61,-63,-87
1,102,213,2412,2422,2417,-61,-63,-78
1,103,213,2412,2412,2412,-52,-70,-91
1,103,213,2412,2412,2412,-52,-70,-88
1,103,213,2412,2412,2412,-52,-70,-87
1,103,213,2412,2412,2412,-52,-70,-86
1,103,213,2412,2422,2412,-52,-66,-91
1,103,213,2412,2422,2412,-52,-66,-88
1,103,213,2412,2422,2412,-52,-66,-87
1,103,213,2412,2422,2412,-52,-66,-86
1,103,213,2412,2422,2412,-52,-64,-91
1,103,213,2412,2422,2412,-52,-64,-88
1,103,213,2412,2422,2412,-52,-64,-87
1,103,213,2412,2422,2412,-52,-64,-86
1,103,213,2417,2412,2412,-55,-70,-91
1,103,213,2417,2412,2412,-55,-70,-88
1,103,213,2417,2412,2412,-55,-70,-87
1,103,213,2417,2412,2412,-55,-70,-86
1,103,213,2417,2412,2412,-51,-70,-91
1,103,213,2417,2412,2412,-51,-70,-88
1,103,213,2417,2412,2412,-51,-70,-87
1,103,213,2417,2412,2412,-51,-70,-86
1,103,213,2417,2422,2412,-55,-66,-91
1,103,213,2417,2422,2412,-55,-66,-88
1,103,213,2417,2422,2412,-55,-66,-87
1,103,213,2417,2422,2412,-55,-66,-86
1,103,213,2417,2422,2412,-55,-64,-91
1,103,213,2417,2422,2412,-55,-64,-88
1,103,213,2417,2422,2412,-55,-64,-87
1,103,213,2417,2422,2412,-55,-64,-86
1,103,213,2417,2422,2412,-51,-66,-91
1,103,213,2417,2422,2412,-51,-66,-88
1,103,213,2417,2422,2412,-51,-66,-87
1,103,213,2417,2422,2412,-51,-66,-86
1,103,213,2417,2422,2412,-51,-64,-91
1,103,213,2417,2422,2412,-51,-64,-88
1,103,213,2417,2422,2412,-51,-64,-87
1,103,213,2417,2422,2412,-51,-64,-86
1,103,213,2427,2412,2412,-67,-70,-91
1,103,213,2427,2412,2412,-67,-70,-88
1,103,213,2427,2412,2412,-67,-70,-87
1,103,213,2427,2412,2412,-67,-70,-86
1,103,213,2427,2422,2412,-67,-66,-91
1,103,213,2427,2422,2412,-67,-66,-88
1,103,213,2427,2422,2412,-67,-66,-87
1,103,213,2427,2422,2412,-67,-66,-86
1,103,213,2427,2422,2412,-67,-64,-91
1,103,213,2427,2422,2412,-67,-64,-88
1,103,213,2427,2422,2412,-67,-64,-87
1,103,213,2427,2422,2412,-67,-64,-86
1,104,213,0,2412,2412,100,-70,-90
1,104,213,0,2412,2412,100,-70,-89
1,104,213,0,2412,2412,100,-70,-88
1,104,213,0,2422,2412,100,-66,-90
1,104,213,0,2422,2412,100,-66,-89
1,104,213,0,2422,2412,100,-66,-88
1,104,213,0,2422,2412,100,-64,-90
1,104,213,0,2422,2412,100,-64,-89
1,104,213,0,2422,2412,100,-64,-88
1,105,213,2422,2412,2412,-60,-69,-90
1,105,213,2422,2412,2412,-60,-69,-89
1,105,213,2422,2412,2412,-60,-69,-88
1,105,213,2422,2412,2417,-60,-69,-85
1,105,213,2422,2417,2412,-60,-62,-90
1,105,213,2422,2417,2412,-60,-62,-89
1,105,213,2422,2417,2412,-60,-62,-88
1,105,213,2422,2417,2417,-60,-62,-85
1,105,213,2427,2412,2412,-74,-69,-90
1,105,213,2427,2412,2412,-74,-69,-89
1,105,213,2427,2412,2412,-74,-69,-88
1,105,213,2427,2412,2412,-68,-69,-90
1,105,213,2427,2412,2412,-68,-69,-89
1,105,213,2427,2412,2412,-68,-69,-88
1,105,213,2427,2412,2412,-67,-69,-90
1,105,213,2427,2412,2412,-67,-69,-89
1,105,213,2427,2412,2412,-67,-69,-88
1,105,213,2427,2412,2417,-74,-69,-85
1,105,213,2427,2412,2417,-68,-69,-85
1,105,213,2427,2412,2417,-67,-69,-85
1,105,213,2427,2417,2412,-74,-62,-90
1,105,213,2427,2417,2412,-74,-62,-89
1,105,213,2427,2417,2412,-74,-62,-88
1,105,213,2427,2417,2412,-68,-62,-90
1,105,213,2427,2417,2412,-68,-62,-89
1,105,213,2427,2417,2412,-68,-62,-88
1,105,213,2427,2417,2412,-67,-62,-90
1,105,213,2427,2417,2412,-67,-62,-89
1,105,213,2427,2417,2412,-67,-62,-88
1,105,213,2427,2417,2417,-74,-62,-85
1,105,213,2427,2417,2417,-68,-62,-85
1,105,213,2427,2417,2417,-67,-62,-85
1,106,213,2417,2422,2412,-55,-61,-93
1,106,213,2417,2422,2412,-55,-61,-83
1,106,213,2417,2422,2417,-55,-61,-86
1,106,213,2417,2422,2422,-55,-61,-84
1,106,213,2427,2422,2412,-75,-61,-93
1,106,213,2427,2422,2412,-75,-61,-83
1,106,213,2427,2422,2417,-75,-61,-86
1,106,213,2427,2422,2422,-75,-61,-84
1,107,213,2412,2412,2412,-66,-67,-89
1,107,213,2412,2412,2412,-66,-67,-87
1,107,213,2412,2412,2412,-66,-67,-86
1,107,213,2412,2412,2412,-66,-65,-89
1,107,213,2412,2412,2412,-66,-65,-87
1,107,213,2412,2412,2412,-66,-65,-86
1,107,213,2412,2417,2412,-66,-61,-89
1,107,213,2412,2417,2412,-66,-61,-87
1,107,213,2412,2417,2412,-66,-61,-86
1,107,213,2412,2417,2412,-66,-60,-89
1,107,213,2412,2417,2412,-66,-60,-87
1,107,213,2412,2417,2412,-66,-60,-86
1,107,213,2412,2417,2412,-66,-57,-89
1,107,213,2412,2417,2412,-66,-57,-87
1,107,213,2412,2417,2412,-66,-57,-86
1,107,213,2412,2422,2412,-66,-62,-89
1,107,213,2412,2422,2412,-66,-62,-87
1,107,213,2412,2422,2412,-66,-62,-86
1,107,213,2417,2412,2412,-51,-67,-89
1,107,213,2417,2412,2412,-51,-67,-87
1,107,213,2417,2412,2412,-51,-67,-86
1,107,213,2417,2412,2412,-51,-65,-89
1,107,213,2417,2412,2412,-51,-65,-87
1,107,213,2417,2412,2412,-51,-65,-86
1,107,213,2417,2417,2412,-51,-61,-89
1,107,213,2417,2417,2412,-51,-61,-87
1,107,213,2417,2417,2412,-51,-61,-86
1,107,213,2417,2417,2412,-51,-60,-89
1,107,213,2417,2417,2412,-51,-60,-87
1,107,213,2417,2417,2412,-51,-60,-86
1,107,213,2417,2417,2412,-51,-57,-89
1,107,213,2417,2417,2412,-51,-57,-87
1,107,213,2417,2417,2412,-51,-57,-86
1,107,213,2417,2422,2412,-51,-62,-89
1,107,213,2417,2422,2412,-51,-62,-87
1,107,213,2417,2422,2412,-51,-62,-86
