ssid,channel,source,signal_strength,floorid,timestamp,roomid,duplication_count
1,2462,cap1,-74,78,2023-12-13 16:21:03,214,8
2,2462,cap2,-54,78,2023-12-13 16:21:03,214,8
1,2462,cap1,-74,78,2023-12-13 16:21:03,214,8
2,2462,cap2,-54,78,2023-12-13 16:21:03,214,8
1,2462,cap1,-74,78,2023-12-13 16:21:03,214,8
2,2462,cap2,-54,78,2023-12-13 16:21:03,214,8
1,2462,cap1,-74,78,2023-12-13 16:21:03,214,8
2,2462,cap1,-74,78,2023-12-13 16:21:03,214,10
1,2462,cap1,-74,78,2023-12-13 16:21:03,214,8
2,2462,cap1,-74,78,2023-12-13 16:21:03,214,10
2,2462,cap2,-62,78,2023-12-13 16:21:03,214,6
1,2462,cap1,-74,78,2023-12-13 16:21:03,214,8
2,2462,cap2,-62,78,2023-12-13 16:21:03,214,6
2,2462,cap1,-74,78,2023-12-13 16:21:03,214,10
1,2462,cap1,-74,78,2023-12-13 16:21:03,214,8
2,2462,cap2,-62,78,2023-12-13 16:21:03,214,6
1,2462,cap2,-54,78,2023-12-13 16:21:03,214,7
2,2462,cap1,-78,78,2023-12-13 16:21:03,214,8
2,2462,cap1,-78,78,2023-12-13 16:21:03,214,8
2,2462,cap2,-62,78,2023-12-13 16:21:03,214,6
1,2462,cap2,-54,78,2023-12-13 16:21:03,214,7
2,2462,cap1,-78,78,2023-12-13 16:21:03,214,8
2,2462,cap2,-62,78,2023-12-13 16:21:03,214,6
1,2462,cap2,-54,78,2023-12-13 16:21:03,214,7
2,2462,cap2,-62,78,2023-12-13 16:21:03,214,6
1,2462,cap2,-54,78,2023-12-13 16:21:03,214,7
2,2462,cap1,-78,78,2023-12-13 16:21:03,214,8
2,2462,cap1,-78,78,2023-12-13 16:21:03,214,8
1,2462,cap1,-88,78,2023-12-13 16:21:03,214,7
2,2462,cap1,-78,78,2023-12-13 16:21:03,214,8
1,2462,cap1,-88,78,2023-12-13 16:21:03,214,7
2,2462,cap1,-78,78,2023-12-13 16:21:03,214,8
1,2462,cap1,-88,78,2023-12-13 16:21:03,214,7
2,2462,cap1,-78,78,2023-12-13 16:21:03,214,8
1,2462,cap1,-88,78,2023-12-13 16:21:03,214,7
1,2462,cap2,-48,78,2023-12-13 16:21:03,214,7
2,2462,cap1,-74,78,2023-12-13 16:21:03,214,10
1,2462,cap1,-88,78,2023-12-13 16:21:03,214,7
2,2462,cap1,-74,78,2023-12-13 16:21:03,214,10
1,2462,cap1,-88,78,2023-12-13 16:21:03,214,7
2,2462,cap1,-74,78,2023-12-13 16:21:03,214,10
1,2462,cap1,-88,78,2023-12-13 16:21:03,214,7
1,2462,cap2,-48,78,2023-12-13 16:21:03,214,7
1,2462,cap2,-48,78,2023-12-13 16:21:03,214,7
2,2462,cap1,-74,78,2023-12-13 16:21:03,214,10
1,2462,cap2,-48,78,2023-12-13 16:21:03,214,7
2,2462,cap1,-74,78,2023-12-13 16:21:03,214,10
2,2462,cap1,-74,78,2023-12-13 16:21:03,214,10
2,2462,cap1,-74,78,2023-12-13 16:21:03,214,10
2,2457,cap1,-72,78,2023-12-13 16:21:03,214,8
2,2457,cap1,-72,78,2023-12-13 16:21:03,214,8
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
2,2457,cap1,-72,78,2023-12-13 16:21:03,214,8
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
2,2462,cap2,-54,78,2023-12-13 16:21:03,214,8
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
2,2462,cap2,-54,78,2023-12-13 16:21:03,214,8
2,2457,cap1,-72,78,2023-12-13 16:21:03,214,8
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
2,2462,cap2,-54,78,2023-12-13 16:21:03,214,8
2,2457,cap1,-72,78,2023-12-13 16:21:03,214,8
2,2457,cap1,-72,78,2023-12-13 16:21:03,214,8
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
2,2457,cap1,-72,78,2023-12-13 16:21:03,214,8
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
2,2457,cap1,-72,78,2023-12-13 16:21:03,214,8
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
2,2462,cap1,-76,78,2023-12-13 16:21:03,214,11
1,2462,cap1,-70,78,2023-12-13 16:21:03,214,7
2,2462,cap1,-76,78,2023-12-13 16:21:03,214,11
1,2462,cap1,-70,78,2023-12-13 16:21:03,214,7
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
2,2462,cap1,-76,78,2023-12-13 16:21:03,214,11
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
1,2462,cap1,-70,78,2023-12-13 16:21:03,214,7
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
2,2462,cap1,-76,78,2023-12-13 16:21:03,214,11
1,2462,cap1,-70,78,2023-12-13 16:21:03,214,7
2,2462,cap1,-76,78,2023-12-13 16:21:03,214,11
1,2462,cap1,-70,78,2023-12-13 16:21:03,214,7
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
2,2462,cap1,-76,78,2023-12-13 16:21:03,214,11
1,2462,cap1,-70,78,2023-12-13 16:21:03,214,7
1,2462,cap2,-54,78,2023-12-13 16:21:03,214,7
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
2,2462,cap1,-76,78,2023-12-13 16:21:03,214,11
1,2462,cap2,-54,78,2023-12-13 16:21:03,214,7
1,2462,cap3,-86,78,2023-12-13 16:21:03,214,28
