ssid,latitude,longitude,floorid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,7.065735102,125.5964779,101,2412,2417,2412,-52,-61,-84
1,7.065735102,125.5964779,101,2412,2422,2412,-52,-60,-84
1,7.065735102,125.5964779,101,2412,2412,2412,-52,-62,-84
1,7.065735102,125.5964779,101,2412,2427,2412,-52,-74,-84
1,7.065735102,125.5964779,101,2417,2417,2412,-45,-61,-84
1,7.065735102,125.5964779,101,2417,2422,2412,-45,-60,-84
1,7.065735102,125.5964779,101,2417,2412,2412,-45,-62,-84
1,7.065735102,125.5964779,101,2417,2427,2412,-45,-74,-84
1,7.065735102,125.5964779,101,2427,2417,2412,-62,-61,-84
1,7.065735102,125.5964779,101,2427,2422,2412,-62,-60,-84
1,7.065735102,125.5964779,101,2427,2412,2412,-62,-62,-84
1,7.065735102,125.5964779,101,2427,2427,2412,-62,-74,-84
1,7.065735102,125.5964779,101,2422,2417,2412,-54,-61,-84
1,7.065735102,125.5964779,101,2422,2422,2412,-54,-60,-84
1,7.065735102,125.5964779,101,2422,2412,2412,-54,-62,-84
1,7.065735102,125.5964779,101,2422,2427,2412,-54,-74,-84
