ssid,floorid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,219,2412,0,2412,-94,-67,100
1,219,2412,0,2412,-90,-67,100
1,219,2412,0,2417,-94,-66,100
1,219,2412,0,2417,-90,-66,100
1,219,2412,0,2422,-94,-74,100
1,219,2412,0,2422,-94,-72,100
1,219,2412,0,2422,-90,-74,100
1,219,2412,0,2422,-90,-72,100
1,231,2412,0,2417,-93,-68,100
1,231,2412,0,2417,-91,-68,100
1,231,2412,0,2417,-89,-68,100
1,231,2412,0,2417,-87,-68,100
1,231,2412,0,2422,-93,-71,100
1,231,2412,0,2422,-91,-71,100
1,231,2412,0,2422,-89,-71,100
1,231,2412,0,2422,-87,-71,100
1,231,2412,0,2427,-93,-85,100
1,231,2412,0,2427,-91,-85,100
1,231,2412,0,2427,-89,-85,100
1,231,2412,0,2427,-87,-85,100
1,233,2412,0,2417,-93,-68,100
1,233,2412,0,2417,-93,-64,100
1,233,2412,0,2417,-93,-63,100
1,233,2412,0,2417,-90,-68,100
1,233,2412,0,2417,-90,-64,100
1,233,2412,0,2417,-90,-63,100
1,190,2412,2412,2417,-92,-95,-68
1,190,2412,2412,2417,-92,-95,-65
1,190,2412,2412,2417,-92,-95,-64
1,190,2412,2412,2417,-92,-95,-63
1,190,2412,2412,2417,-92,-94,-68
1,190,2412,2412,2417,-92,-94,-65
1,190,2412,2412,2417,-92,-94,-64
1,190,2412,2412,2417,-92,-94,-63
1,190,2412,2412,2417,-92,-92,-68
1,190,2412,2412,2417,-92,-92,-65
1,190,2412,2412,2417,-92,-92,-64
1,190,2412,2412,2417,-92,-92,-63
1,190,2412,2412,2417,-92,-89,-68
1,190,2412,2412,2417,-92,-89,-65
1,190,2412,2412,2417,-92,-89,-64
1,190,2412,2412,2417,-92,-89,-63
1,190,2412,2412,2417,-92,-87,-68
1,190,2412,2412,2417,-92,-87,-65
1,190,2412,2412,2417,-92,-87,-64
1,190,2412,2412,2417,-92,-87,-63
1,190,2412,2412,2417,-88,-95,-68
1,190,2412,2412,2417,-88,-95,-65
1,190,2412,2412,2417,-88,-95,-64
1,190,2412,2412,2417,-88,-95,-63
1,190,2412,2412,2417,-88,-94,-68
1,190,2412,2412,2417,-88,-94,-65
1,190,2412,2412,2417,-88,-94,-64
1,190,2412,2412,2417,-88,-94,-63
1,190,2412,2412,2417,-88,-92,-68
1,190,2412,2412,2417,-88,-92,-65
1,190,2412,2412,2417,-88,-92,-64
1,190,2412,2412,2417,-88,-92,-63
1,190,2412,2412,2417,-88,-89,-68
1,190,2412,2412,2417,-88,-89,-65
1,190,2412,2412,2417,-88,-89,-64
1,190,2412,2412,2417,-88,-89,-63
1,190,2412,2412,2417,-88,-87,-68
1,190,2412,2412,2417,-88,-87,-65
1,190,2412,2412,2417,-88,-87,-64
1,190,2412,2412,2417,-88,-87,-63
1,190,2412,2412,2417,-86,-95,-68
1,190,2412,2412,2417,-86,-95,-65
1,190,2412,2412,2417,-86,-95,-64
1,190,2412,2412,2417,-86,-95,-63
1,190,2412,2412,2417,-86,-94,-68
1,190,2412,2412,2417,-86,-94,-65
1,190,2412,2412,2417,-86,-94,-64
1,190,2412,2412,2417,-86,-94,-63
1,190,2412,2412,2417,-86,-92,-68
1,190,2412,2412,2417,-86,-92,-65
1,190,2412,2412,2417,-86,-92,-64
1,190,2412,2412,2417,-86,-92,-63
1,190,2412,2412,2417,-86,-89,-68
1,190,2412,2412,2417,-86,-89,-65
1,190,2412,2412,2417,-86,-89,-64
1,190,2412,2412,2417,-86,-89,-63
1,190,2412,2412,2417,-86,-87,-68
1,190,2412,2412,2417,-86,-87,-65
1,190,2412,2412,2417,-86,-87,-64
1,190,2412,2412,2417,-86,-87,-63
1,190,2412,2412,2417,-84,-95,-68
1,190,2412,2412,2417,-84,-95,-65
1,190,2412,2412,2417,-84,-95,-64
1,190,2412,2412,2417,-84,-95,-63
1,190,2412,2412,2417,-84,-94,-68
1,190,2412,2412,2417,-84,-94,-65
1,190,2412,2412,2417,-84,-94,-64
1,190,2412,2412,2417,-84,-94,-63
1,190,2412,2412,2417,-84,-92,-68
1,190,2412,2412,2417,-84,-92,-65
1,190,2412,2412,2417,-84,-92,-64
1,190,2412,2412,2417,-84,-92,-63
1,190,2412,2412,2417,-84,-89,-68
1,190,2412,2412,2417,-84,-89,-65
1,190,2412,2412,2417,-84,-89,-64
1,190,2412,2412,2417,-84,-89,-63
1,190,2412,2412,2417,-84,-87,-68
1,190,2412,2412,2417,-84,-87,-65
1,190,2412,2412,2417,-84,-87,-64
1,190,2412,2412,2417,-84,-87,-63
1,190,2412,2412,2422,-92,-95,-67
1,190,2412,2412,2422,-92,-94,-67
1,190,2412,2412,2422,-92,-92,-67
1,190,2412,2412,2422,-92,-89,-67
1,190,2412,2412,2422,-92,-87,-67
1,190,2412,2412,2422,-88,-95,-67
1,190,2412,2412,2422,-88,-94,-67
1,190,2412,2412,2422,-88,-92,-67
1,190,2412,2412,2422,-88,-89,-67
1,190,2412,2412,2422,-88,-87,-67
1,190,2412,2412,2422,-86,-95,-67
1,190,2412,2412,2422,-86,-94,-67
1,190,2412,2412,2422,-86,-92,-67
1,190,2412,2412,2422,-86,-89,-67
1,190,2412,2412,2422,-86,-87,-67
1,190,2412,2412,2422,-84,-95,-67
1,190,2412,2412,2422,-84,-94,-67
1,190,2412,2412,2422,-84,-92,-67
1,190,2412,2412,2422,-84,-89,-67
1,190,2412,2412,2422,-84,-87,-67
1,192,2412,0,2422,-92,-76,100
1,192,2412,0,2422,-92,-75,100
