ssid,channel,source,signal_strength,floorid,roomid
1,2412,cap1,-94,219,111
1,2412,cap1,-93,231,111
1,2412,cap1,-93,233,111
1,2412,cap1,-92,190,111
1,2412,cap1,-92,192,111
1,2412,cap1,-92,234,111
1,2412,cap1,-91,191,111
1,2412,cap1,-91,218,111
1,2412,cap1,-91,228,111
1,2412,cap1,-91,230,111
1,2412,cap1,-91,231,111
1,2412,cap1,-90,191,111
1,2412,cap1,-90,219,111
1,2412,cap1,-90,222,111
1,2412,cap1,-90,225,111
1,2412,cap1,-90,230,111
1,2412,cap1,-90,233,111
1,2412,cap1,-90,234,111
1,2412,cap1,-90,235,111
1,2412,cap1,-89,217,111
1,2412,cap1,-89,218,111
1,2412,cap1,-89,231,111
1,2412,cap1,-89,234,111
1,2412,cap1,-89,235,111
1,2412,cap1,-88,190,111
1,2412,cap1,-88,235,111
1,2412,cap1,-88,333,111
1,2412,cap1,-87,217,111
1,2412,cap1,-87,221,111
1,2412,cap1,-87,231,111
1,2412,cap1,-87,321,111
1,2412,cap1,-86,190,111
1,2412,cap1,-86,321,111
1,2412,cap1,-85,306,111
1,2412,cap1,-84,190,111
1,2412,cap1,-84,349,111
1,2412,cap1,-82,331,111
1,2412,cap1,-82,351,111
1,2412,cap1,-81,335,111
1,2412,cap1,-81,349,111
1,2412,cap1,-79,295,111
1,2412,cap1,-79,315,111
1,2412,cap1,-78,307,111
1,2412,cap1,-75,328,111
1,2412,cap2,-99,332,111
1,2412,cap2,-98,191,111
1,2412,cap2,-98,290,111
1,2412,cap2,-98,292,111
1,2412,cap2,-97,290,111
1,2412,cap2,-97,342,111
1,2412,cap2,-96,191,111
1,2412,cap2,-96,320,111
1,2412,cap2,-96,339,111
1,2412,cap2,-96,351,111
1,2412,cap2,-95,190,111
1,2412,cap2,-95,191,111
1,2412,cap2,-95,326,111
1,2412,cap2,-95,343,111
1,2412,cap2,-95,344,111
1,2412,cap2,-95,353,111
1,2412,cap2,-94,190,111
1,2412,cap2,-94,221,111
1,2412,cap2,-94,320,111
1,2412,cap2,-94,341,111
1,2412,cap2,-94,343,111
