"mac_address","ssid","channel","source","signal_strength","floorid","timestamp"
"6A:BD:12:5B:D6:64","C11","2462","cap1","-61","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2462","cap1","-52","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2462","cap1","-53","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2457","cap1","-51","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2462","cap1","-52","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2462","cap1","-57","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2457","cap1","-57","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2457","cap2","-72","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2452","cap3","-89","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2452","cap1","-59","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2457","cap2","-70","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2457","cap3","-96","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2457","cap1","-63","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2462","cap2","-70","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2457","cap1","-56","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2462","cap2","-74","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2457","cap3","-91","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2452","cap1","-58","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2457","cap2","-74","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2457","cap3","-85","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2462","cap1","-55","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2462","cap2","-77","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2462","cap1","-74","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2457","cap2","-70","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2462","cap1","-58","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2462","cap2","-68","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2457","cap3","-93","121","2023-11-11 11:40:25"
"6A:BD:12:5B:D6:64","C11","2462","cap1","-50","121","2023-11-11 11:40:25"
