floorid,roomid,channel,ssid,cap1,cap2,cap3
1,214,2462,Vivo Y21T,,-58,
1,214,2462,Vivo Y21T,-85,,
1,214,2462,Vivo Y21T,-85,,
1,214,2452,Vivo Y21T,,-66,
1,214,2452,Xiaomi,,-65,
1,214,2462,Vivo Y21T,,-61,
1,214,2462,Xiaomi,,-58,
1,214,2462,Vivo Y21T,,-61,
1,214,2457,Xiaomi,,-63,
1,214,2457,Xiaomi,,-63,
1,214,2462,Xiaomi,,-55,
1,214,2462,Vivo Y21T,,-62,
1,214,2462,Xiaomi,,-55,
1,214,2462,Xiaomi,-78,,
1,214,2462,Vivo Y21T,,-62,
1,214,2462,Vivo Y21T,,-62,
1,214,2452,Xiaomi,,-66,
1,214,2462,Vivo Y21T,,-66,
1,214,2457,Xiaomi,,-70,
1,214,2462,Vivo Y21T,,-66,
1,214,2457,Xiaomi,,-70,
1,214,2462,Vivo Y21T,,-66,
1,214,2457,Xiaomi,,-70,
1,214,2462,Vivo Y21T,,-66,
1,214,2462,Xiaomi,,-74,
1,214,2462,Vivo Y21T,,-61,
1,214,2462,Xiaomi,,-74,
1,214,2462,Xiaomi,,-55,
1,214,2462,Vivo Y21T,,-61,
1,214,2462,Vivo Y21T,-85,,
1,214,2452,Vivo Y21T,-76,,
1,214,2462,Vivo Y21T,-72,,
1,214,2462,Xiaomi,-78,,
1,214,2462,Vivo Y21T,-72,,
1,214,2462,Xiaomi,-78,,
1,214,2462,Vivo Y21T,-72,,
1,214,2457,Xiaomi,,-63,
1,214,2457,Vivo Y21T,-72,,
1,214,2462,Xiaomi,-74,,
1,214,2457,Vivo Y21T,-72,,
1,214,2462,Xiaomi,-74,,
1,214,2457,Vivo Y21T,-72,,
1,214,2462,Xiaomi,-74,,
1,214,2462,Xiaomi,-78,,
1,214,2457,Vivo Y21T,-72,,
1,214,2462,Vivo Y21T,-82,,
1,214,2462,Xiaomi,-74,,
1,214,2462,Vivo Y21T,-82,,
1,214,2462,Xiaomi,-74,,
1,214,2462,Vivo Y21T,-82,,
1,214,2457,Xiaomi,-71,,
1,214,2452,Vivo Y21T,-80,,
1,214,2462,Xiaomi,-75,,
1,214,2462,Vivo Y21T,-78,,
1,214,2462,Vivo Y21T,-78,,
1,214,2462,Xiaomi,-75,,
1,214,2462,Xiaomi,-78,,
1,214,2462,Xiaomi,-74,,
1,214,2462,Xiaomi,,-74,
1,214,2462,Vivo Y21T,,-61,
1,214,2452,Xiaomi,,-63,
1,214,2462,Vivo Y21T,,-56,
1,214,2462,Xiaomi,,-64,
1,214,2462,Vivo Y21T,,-56,
1,214,2452,Xiaomi,,-64,
1,214,2462,Vivo Y21T,,-57,
1,214,2462,Xiaomi,,-58,
1,214,2462,Vivo Y21T,,-57,
1,214,2462,Xiaomi,,-58,
1,214,2462,Vivo Y21T,,-57,
1,214,2462,Xiaomi,,-58,
1,214,2462,Vivo Y21T,,-57,
1,214,2452,Xiaomi,,-65,
1,214,2462,Xiaomi,,-64,
1,214,2462,Vivo Y21T,,-65,
1,214,2462,Vivo Y21T,,-65,
1,214,2452,Xiaomi,,-65,
1,214,2462,Vivo Y21T,,-65,
1,214,2452,Xiaomi,,-65,
1,214,2457,Vivo Y21T,,-62,
1,214,2447,Vivo Y21T,,-71,
1,214,2457,Xiaomi,,-63,
1,214,2462,Vivo Y21T,,-58,
1,214,2457,Xiaomi,,-63,
1,214,2447,Vivo Y21T,,-71,
1,214,2457,Xiaomi,,-63,
1,214,2447,Vivo Y21T,,-71,
1,214,2452,Xiaomi,,-65,
1,214,2462,Vivo Y21T,,-56,
1,214,2462,Xiaomi,,-64,
1,214,2462,Vivo Y21T,,-56,
1,214,2462,Vivo Y21T,,-70,
1,214,2462,Xiaomi,,-60,
1,214,2462,Vivo Y21T,,-70,
1,214,2462,Xiaomi,,-60,
1,214,2462,Vivo Y21T,,-70,
1,214,2457,Xiaomi,,-71,
1,214,2457,Vivo Y21T,,-60,
1,214,2462,Xiaomi,,-60,
1,214,2462,Vivo Y21T,,-55,
1,214,2462,Xiaomi,,-60,
1,214,2462,Vivo Y21T,,-55,
1,214,2462,Xiaomi,,-60,
1,214,2452,Xiaomi,,-65,
1,214,2462,Vivo Y21T,,-70,
1,214,2452,Xiaomi,,-64,
1,214,2462,Vivo Y21T,,-70,
1,214,2452,Xiaomi,,-64,
1,214,2462,Vivo Y21T,,-70,
1,214,2452,Xiaomi,,-64,
1,214,2457,Vivo Y21T,,-61,
1,214,2462,Xiaomi,,-69,
1,214,2462,Vivo Y21T,,-61,
1,214,2462,Xiaomi,,-69,
1,214,2462,Vivo Y21T,,-61,
1,214,2462,Xiaomi,,-69,
1,214,2462,Vivo Y21T,,-61,
1,214,2462,Xiaomi,,-64,
1,214,2462,Xiaomi,-78,,
1,214,2462,Vivo Y21T,-72,,
1,214,2462,Xiaomi,-74,,
1,214,2462,Vivo Y21T,-81,,
1,214,2462,Xiaomi,-75,,
1,214,2462,Vivo Y21T,-79,,
1,214,2462,Xiaomi,-75,,
1,214,2462,Vivo Y21T,-79,,
1,214,2462,Xiaomi,-75,,
1,214,2462,Vivo Y21T,-79,,
1,214,2462,Xiaomi,-76,,
1,214,2462,Vivo Y21T,-78,,
1,214,2462,Xiaomi,-76,,
1,214,2462,Vivo Y21T,-78,,
1,214,2462,Xiaomi,-76,,
1,214,2462,Vivo Y21T,-78,,
1,214,2462,Xiaomi,-76,,
1,214,2462,Vivo Y21T,-78,,
1,214,2462,Xiaomi,,-58,
1,214,2462,Xiaomi,-75,,
