timestamp,source,ssid,Average of signal_strength
1899-12-30 15:46:07,cap2,RedmiNote_11,-83.00
1899-12-30 15:46:07,cap2,TechnoCamon_20,-72.00
1899-12-30 15:46:08,cap1,TechnoCamon_20,-58.00
1899-12-30 15:46:08,cap1,Xiaomi_10T,-66.00
1899-12-30 15:46:08,cap1,Xiaomipoco_X3,-61.00
1899-12-30 15:46:09,cap2,Realme_6Pro,-74.00
1899-12-30 15:46:09,cap2,RedmiNote_11,-79.00
1899-12-30 15:46:09,cap2,TechnoCamon_20,-74.00
1899-12-30 15:46:09,cap2,Vivo_Y21T,-67.00
1899-12-30 15:46:09,cap3,TechnoCamon_20,-76.00
1899-12-30 15:46:09,cap3,Xiaomipoco_X3,-81.00
1899-12-30 15:46:10,cap1,TechnoCamon_20,-55.00
1899-12-30 15:46:10,cap1,Xiaomi_10T,-66.00
1899-12-30 15:46:10,cap1,Xiaomipoco_X3,-57.00
1899-12-30 15:46:11,cap2,Realme_6Pro,-74.00
1899-12-30 15:46:11,cap2,RedmiNote_11,-79.00
1899-12-30 15:46:11,cap2,TechnoCamon_20,-69.00
1899-12-30 15:46:11,cap2,Vivo_Y21T,-67.00
1899-12-30 15:46:11,cap2,Xiaomipoco_X3,-66.00
1899-12-30 15:46:12,cap1,Realme_6Pro,-60.00
1899-12-30 15:46:12,cap1,RedmiNote_11,-61.00
1899-12-30 15:46:12,cap1,TechnoCamon_20,-74.00
1899-12-30 15:46:12,cap1,Vivo_Y21T,-61.00
1899-12-30 15:46:12,cap1,Xiaomi_10T,-71.00
1899-12-30 15:46:12,cap1,Xiaomipoco_X3,-62.00
1899-12-30 15:46:12,cap2,Realme_6Pro,-71.00
1899-12-30 15:46:12,cap2,RedmiNote_11,-72.00
1899-12-30 15:46:12,cap2,TechnoCamon_20,-69.00
1899-12-30 15:46:12,cap2,Vivo_Y21T,-67.00
1899-12-30 15:46:12,cap2,Xiaomipoco_X3,-66.00
1899-12-30 15:46:12,cap3,RedmiNote_11,-85.00
1899-12-30 15:46:12,cap3,TechnoCamon_20,-72.00
1899-12-30 15:46:12,cap3,Vivo_Y21T,-86.00
1899-12-30 15:46:12,cap3,Xiaomipoco_X3,-81.00
1899-12-30 15:46:13,cap1,Realme_6Pro,-71.00
1899-12-30 15:46:13,cap1,RedmiNote_11,-75.00
1899-12-30 15:46:13,cap1,TechnoCamon_20,-55.00
1899-12-30 15:46:13,cap1,Vivo_Y21T,-58.00
1899-12-30 15:46:13,cap1,Xiaomi_10T,-71.00
1899-12-30 15:46:13,cap1,Xiaomipoco_X3,-62.00
1899-12-30 15:46:13,cap2,Realme_6Pro,-73.00
1899-12-30 15:46:13,cap2,RedmiNote_11,-72.00
1899-12-30 15:46:13,cap2,TechnoCamon_20,-68.00
1899-12-30 15:46:13,cap2,Vivo_Y21T,-66.00
1899-12-30 15:46:13,cap2,Xiaomipoco_X3,-66.00
1899-12-30 15:46:14,cap1,Realme_6Pro,-71.00
1899-12-30 15:46:14,cap1,RedmiNote_11,-75.00
1899-12-30 15:46:14,cap1,TechnoCamon_20,-57.00
1899-12-30 15:46:14,cap1,Vivo_Y21T,-58.00
1899-12-30 15:46:14,cap1,Xiaomi_10T,-71.00
1899-12-30 15:46:14,cap1,Xiaomipoco_X3,-62.00
1899-12-30 15:46:14,cap3,RedmiNote_11,-85.00
1899-12-30 15:46:14,cap3,TechnoCamon_20,-64.00
1899-12-30 15:46:14,cap3,Vivo_Y21T,-86.00
1899-12-30 15:46:14,cap3,Xiaomipoco_X3,-86.00
1899-12-30 15:46:15,cap1,Realme_6Pro,-62.00
1899-12-30 15:46:15,cap1,RedmiNote_11,-60.00
1899-12-30 15:46:15,cap1,TechnoCamon_20,-57.00
1899-12-30 15:46:15,cap1,Vivo_Y21T,-59.00
1899-12-30 15:46:15,cap1,Xiaomi_10T,-71.00
1899-12-30 15:46:15,cap1,Xiaomipoco_X3,-62.00
1899-12-30 15:46:15,cap2,Realme_6Pro,-73.00
1899-12-30 15:46:15,cap2,RedmiNote_11,-72.00
1899-12-30 15:46:15,cap2,TechnoCamon_20,-68.00
1899-12-30 15:46:15,cap2,Vivo_Y21T,-66.00
1899-12-30 15:46:15,cap2,Xiaomipoco_X3,-66.00
1899-12-30 15:46:16,cap2,Realme_6Pro,-73.00
1899-12-30 15:46:16,cap2,RedmiNote_11,-75.00
1899-12-30 15:46:16,cap2,TechnoCamon_20,-68.00
1899-12-30 15:46:16,cap2,Vivo_Y21T,-66.00
1899-12-30 15:46:16,cap2,Xiaomipoco_X3,-66.00
1899-12-30 15:46:17,cap1,Realme_6Pro,-62.00
1899-12-30 15:46:17,cap1,RedmiNote_11,-66.00
1899-12-30 15:46:17,cap1,TechnoCamon_20,-59.00
1899-12-30 15:46:17,cap1,Vivo_Y21T,-63.00
1899-12-30 15:46:17,cap1,Xiaomi_10T,-71.00
1899-12-30 15:46:17,cap1,Xiaomipoco_X3,-61.00
1899-12-30 15:46:17,cap3,RedmiNote_11,-75.00
1899-12-30 15:46:17,cap3,TechnoCamon_20,-64.00
1899-12-30 15:46:17,cap3,Vivo_Y21T,-86.00
1899-12-30 15:46:17,cap3,Xiaomipoco_X3,-86.00
1899-12-30 15:46:18,cap1,Realme_6Pro,-62.00
1899-12-30 15:46:18,cap1,RedmiNote_11,-66.00
1899-12-30 15:46:18,cap1,TechnoCamon_20,-59.00
1899-12-30 15:46:18,cap1,Vivo_Y21T,-63.00
1899-12-30 15:46:18,cap1,Xiaomi_10T,-71.00
1899-12-30 15:46:18,cap1,Xiaomipoco_X3,-61.00
1899-12-30 15:46:18,cap2,Realme_6Pro,-73.00
1899-12-30 15:46:18,cap2,RedmiNote_11,-75.00
1899-12-30 15:46:18,cap2,TechnoCamon_20,-74.00
1899-12-30 15:46:18,cap2,Vivo_Y21T,-80.00
1899-12-30 15:46:18,cap2,Xiaomipoco_X3,-66.00
1899-12-30 15:46:19,cap1,Realme_6Pro,-62.00
1899-12-30 15:46:19,cap1,RedmiNote_11,-66.00
1899-12-30 15:46:19,cap1,TechnoCamon_20,-59.00
1899-12-30 15:46:19,cap1,Vivo_Y21T,-63.00
1899-12-30 15:46:19,cap1,Xiaomi_10T,-71.00
1899-12-30 15:46:19,cap1,Xiaomipoco_X3,-61.00
1899-12-30 15:46:20,cap2,Realme_6Pro,-73.00
1899-12-30 15:46:20,cap2,RedmiNote_11,-75.00
1899-12-30 15:46:20,cap2,TechnoCamon_20,-74.00
1899-12-30 15:46:20,cap2,Vivo_Y21T,-80.00
1899-12-30 15:46:20,cap2,Xiaomipoco_X3,-70.00
1899-12-30 15:46:20,cap3,RedmiNote_11,-75.00
1899-12-30 15:46:20,cap3,TechnoCamon_20,-69.00
1899-12-30 15:46:20,cap3,Vivo_Y21T,-86.00
1899-12-30 15:46:20,cap3,Xiaomipoco_X3,-86.00
1899-12-30 15:46:21,cap1,Realme_6Pro,-63.00
1899-12-30 15:46:21,cap1,RedmiNote_11,-63.00
1899-12-30 15:46:21,cap1,TechnoCamon_20,-56.00
1899-12-30 15:46:21,cap1,Vivo_Y21T,-59.00
1899-12-30 15:46:21,cap1,Xiaomi_10T,-71.00
1899-12-30 15:46:21,cap1,Xiaomipoco_X3,-61.00
1899-12-30 15:46:21,cap2,Realme_6Pro,-74.00
1899-12-30 15:46:21,cap2,RedmiNote_11,-77.00
1899-12-30 15:46:21,cap2,TechnoCamon_20,-74.00
1899-12-30 15:46:21,cap2,Vivo_Y21T,-80.00
1899-12-30 15:46:21,cap2,Xiaomipoco_X3,-70.00
1899-12-30 15:46:22,cap1,Realme_6Pro,-63.00
1899-12-30 15:46:22,cap1,RedmiNote_11,-63.00
1899-12-30 15:46:22,cap1,TechnoCamon_20,-55.00
1899-12-30 15:46:22,cap1,Vivo_Y21T,-59.00
1899-12-30 15:46:22,cap1,Xiaomi_10T,-71.00
1899-12-30 15:46:22,cap1,Xiaomipoco_X3,-56.00
1899-12-30 15:46:22,cap2,Realme_6Pro,-77.00
1899-12-30 15:46:22,cap2,RedmiNote_11,-77.00
1899-12-30 15:46:22,cap2,TechnoCamon_20,-67.00
1899-12-30 15:46:22,cap2,Vivo_Y21T,-93.00
1899-12-30 15:46:22,cap2,Xiaomipoco_X3,-70.00
1899-12-30 15:46:22,cap3,RedmiNote_11,-75.00
1899-12-30 15:46:22,cap3,TechnoCamon_20,-71.00
1899-12-30 15:46:22,cap3,Vivo_Y21T,-86.00
1899-12-30 15:46:22,cap3,Xiaomipoco_X3,-85.00
1899-12-30 15:46:24,cap1,Realme_6Pro,-63.00
1899-12-30 15:46:24,cap1,RedmiNote_11,-63.00
1899-12-30 15:46:24,cap1,TechnoCamon_20,-55.00
1899-12-30 15:46:24,cap1,Vivo_Y21T,-59.00
1899-12-30 15:46:24,cap1,Xiaomi_10T,-73.00
1899-12-30 15:46:24,cap1,Xiaomipoco_X3,-56.00
1899-12-30 15:46:24,cap2,Realme_6Pro,-77.00
