timestamp,Realme_6Pro,RedmiNote_11,TechnoCamon_20,Vivo_Y21T,Xiaomipoco_X3
2024-04-11 15:46:13,-71.0,-75.0,,,
2024-04-11 15:46:14,-71.0,-75.0,,,
2024-04-11 15:46:17,,-66.0,,,
2024-04-11 15:46:18,,-66.0,,,
2024-04-11 15:46:19,,-66.0,,,
2024-04-11 15:46:26,,,,-86.0,
2024-04-11 15:46:27,,,,-86.0,
2024-04-11 15:46:29,,,,-68.0,
2024-04-11 15:46:30,,,,-68.0,
2024-04-11 15:46:33,,-72.0,,,
2024-04-11 15:46:34,,-72.0,,,
2024-04-11 15:46:36,,-72.0,,,
2024-04-11 15:46:38,,-67.0,,,
2024-04-11 15:46:39,,-67.0,,,
2024-04-11 15:46:40,,,-60.0,,
2024-04-11 15:46:46,-67.0,-67.0,,,
2024-04-11 15:46:47,-67.0,-67.0,,,
2024-04-11 15:46:48,-67.0,,,,
2024-04-11 15:46:54,,-74.0,,-70.0,
2024-04-11 15:46:55,,-74.0,,-70.0,
2024-04-11 15:46:57,-76.0,-65.0,,,
2024-04-11 15:46:59,-76.0,-65.0,,,
2024-04-11 15:47:00,,,,,-87.0
2024-04-11 15:47:01,,-62.0,,,
2024-04-11 15:47:02,,-62.0,,,
2024-04-11 15:47:04,,-62.0,,,
2024-04-11 15:47:05,,-63.0,,-78.0,
2024-04-11 15:47:06,,-63.0,,-78.0,
2024-04-11 15:47:07,,-63.0,,-78.0,
2024-04-11 15:47:08,,-65.0,,,
2024-04-11 15:47:10,,-65.0,,,
2024-04-11 15:47:12,,-74.0,,-75.0,
2024-04-11 15:47:13,,-74.0,,-75.0,
2024-04-11 15:47:19,,-67.0,,,
2024-04-11 15:47:20,,-67.0,,,
2024-04-11 15:47:21,,-67.0,,,
2024-04-11 15:47:25,,-66.0,,,
2024-04-11 15:47:26,,-66.0,,,
2024-04-11 15:47:27,,-66.0,,,
2024-04-11 15:47:32,-77.0,-63.0,,,
2024-04-11 15:47:34,-77.0,-63.0,,,
2024-04-11 15:47:45,,-64.0,,,
2024-04-11 15:47:46,,-64.0,,,
2024-04-11 15:47:48,,,,-76.0,
2024-04-11 15:47:49,,,,-76.0,
2024-04-11 15:47:58,,-60.0,,,
2024-04-11 15:47:59,,-60.0,,,
2024-04-11 15:48:04,-76.0,,,,
2024-04-11 15:48:06,-76.0,,,,
2024-04-11 15:48:08,-76.0,,,,
2024-04-11 15:48:09,-78.0,-63.0,,,
2024-04-11 15:48:10,-78.0,-63.0,,,
2024-04-11 15:48:12,,-64.0,,,
2024-04-11 15:48:13,,-64.0,,,
2024-04-11 15:48:14,,-64.0,,,
2024-04-11 15:48:18,,-63.0,,,
2024-04-11 15:48:19,,-63.0,,,
2024-04-11 15:48:27,,-85.0,,,
2024-04-11 15:48:29,,-85.0,,,
2024-04-11 15:48:30,,-85.0,,,
2024-04-11 15:48:32,,-59.0,,-85.0,
2024-04-11 15:48:34,,-59.0,,,
2024-04-11 15:48:35,,,,-85.0,
