timestamp,Realme_6Pro,RedmiNote_11,Vivo_Y21T
2024-04-11 15:46:09,,-79.0,
2024-04-11 15:46:11,,-79.0,
2024-04-11 15:46:12,-71.0,,
2024-04-11 15:46:18,,,-80.0
2024-04-11 15:46:20,,,-80.0
2024-04-11 15:46:21,-74.0,-77.0,-80.0
2024-04-11 15:46:22,,-77.0,
2024-04-11 15:46:24,,-77.0,
2024-04-11 15:46:28,,-77.0,
2024-04-11 15:46:41,-77.0,,
2024-04-11 15:46:42,-77.0,,
2024-04-11 15:46:43,-77.0,,
2024-04-11 15:46:45,-77.0,,
2024-04-11 15:46:46,-77.0,,
2024-04-11 15:46:47,-77.0,,
2024-04-11 15:46:48,-77.0,,
2024-04-11 15:46:49,-77.0,,
2024-04-11 15:46:50,-77.0,,
2024-04-11 15:46:52,,,-76.0
2024-04-11 15:46:53,,,-76.0
2024-04-11 15:46:54,,,-76.0
2024-04-11 15:46:55,,,-76.0
2024-04-11 15:46:56,,-82.0,
2024-04-11 15:46:58,,-82.0,
2024-04-11 15:46:59,,-82.0,
2024-04-11 15:47:00,,-82.0,
2024-04-11 15:47:18,,-78.0,-72.0
2024-04-11 15:47:19,,-78.0,
2024-04-11 15:47:20,,-78.0,
2024-04-11 15:47:21,,-78.0,
2024-04-11 15:47:23,,-78.0,
2024-04-11 15:47:24,,-78.0,
2024-04-11 15:47:25,,-78.0,
2024-04-11 15:47:26,,-78.0,
2024-04-11 15:47:27,,-78.0,
2024-04-11 15:47:29,,-78.0,
2024-04-11 15:47:30,,-78.0,
2024-04-11 15:47:31,,-78.0,-72.0
2024-04-11 15:47:32,,-78.0,-72.0
2024-04-11 15:47:33,,,-72.0
2024-04-11 15:47:34,-73.0,,
2024-04-11 15:47:35,-73.0,,
2024-04-11 15:47:36,-73.0,,
2024-04-11 15:47:37,-74.0,,-73.0
2024-04-11 15:47:49,-73.0,-78.0,
2024-04-11 15:47:50,-73.0,-78.0,
2024-04-11 15:47:52,,-78.0,
2024-04-11 15:47:53,-73.0,-78.0,
2024-04-11 15:47:54,-73.0,,
2024-04-11 15:47:58,,,-87.0
2024-04-11 15:47:59,,,-87.0
2024-04-11 15:48:00,,,-87.0
2024-04-11 15:48:02,-74.0,-78.0,-73.0
2024-04-11 15:48:03,,-78.0,-73.0
2024-04-11 15:48:04,,-78.0,-73.0
2024-04-11 15:48:05,,-78.0,
2024-04-11 15:48:06,,,-73.0
2024-04-11 15:48:14,-73.0,,
2024-04-11 15:48:19,-73.0,,
2024-04-11 15:48:22,,-79.0,-72.0
2024-04-11 15:48:24,,-79.0,
2024-04-11 15:48:25,,-79.0,
2024-04-11 15:48:26,,-79.0,
2024-04-11 15:48:27,,-79.0,
2024-04-11 15:48:29,-74.0,-79.0,
2024-04-11 15:48:30,-74.0,-79.0,
2024-04-11 15:48:31,-74.0,-79.0,
2024-04-11 15:48:32,,-75.0,
2024-04-11 15:48:34,,-75.0,
2024-04-11 15:48:35,,-75.0,
2024-04-11 15:48:36,,-75.0,
2024-04-11 15:48:37,-74.0,-78.0,-73.0
2024-04-11 15:48:38,,-78.0,
2024-04-11 15:48:40,,-78.0,
2024-04-11 15:48:41,-73.0,,
2024-04-11 15:48:45,,-78.0,
2024-04-11 15:48:46,-74.0,-78.0,-74.0
2024-04-11 15:48:48,,-78.0,
2024-04-11 15:48:50,-73.0,-78.0,
2024-04-11 15:48:51,,-78.0,
2024-04-11 15:48:52,,-78.0,
2024-04-11 15:48:53,,-78.0,
2024-04-11 15:48:55,,-78.0,
2024-04-11 15:48:56,,-78.0,
2024-04-11 15:48:57,-74.0,-78.0,-74.0
2024-04-11 15:48:59,,-78.0,-74.0
2024-04-11 15:49:00,,-78.0,-74.0
2024-04-11 15:49:01,,-78.0,
2024-04-11 15:49:02,,-78.0,-74.0
2024-04-11 15:49:04,,-78.0,
2024-04-11 15:49:05,,-78.0,
2024-04-11 15:49:10,,,-67.0
2024-04-11 15:49:14,,-78.0,
2024-04-11 15:49:15,-72.0,-78.0,-73.0
2024-04-11 15:49:16,,-78.0,
2024-04-11 15:49:17,-74.0,-78.0,-74.0
2024-04-11 15:49:19,,-78.0,-74.0
2024-04-11 15:49:20,,-78.0,-74.0
2024-04-11 15:49:21,,-78.0,
2024-04-11 15:49:22,,,-74.0
