"mac_address","ssid","channel","source","signal_strength","floorid","timestamp","roomid"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2422","cap2","-64","137","2024-03-21 11:35:58","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2417","cap1","-57","137","2024-03-21 11:35:58","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2417","cap3","-88","137","2024-03-21 11:35:58","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2412","cap1","-55","137","2024-03-21 11:35:58","0"
"FE:47:AD:D7:13:E2","XiaomiPoco_X3","2462","cap1","-60","137","2024-03-21 11:37:02","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2417","cap2","-60","137","2024-03-21 11:35:58","0"
"FE:47:AD:D7:13:E2","XiaomiPoco_X3","2462","cap2","-75","137","2024-03-21 11:37:02","0"
"FE:47:AD:D7:13:E2","XiaomiPoco_X3","2462","cap1","-60","137","2024-03-21 11:37:02","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2417","cap1","-65","137","2024-03-21 11:35:58","0"
"FE:47:AD:D7:13:E2","XiaomiPoco_X3","2452","cap2","-80","137","2024-03-21 11:37:02","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2412","cap2","-66","137","2024-03-21 11:35:58","0"
"FE:47:AD:D7:13:E2","XiaomiPoco_X3","2462","cap1","-60","137","2024-03-21 11:37:02","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2417","cap1","-65","137","2024-03-21 11:35:58","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2417","cap3","-88","137","2024-03-21 11:35:58","0"
"FE:47:AD:D7:13:E2","XiaomiPoco_X3","2462","cap2","-76","137","2024-03-21 11:37:02","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2417","cap2","-60","137","2024-03-21 11:35:58","0"
"FE:47:AD:D7:13:E2","XiaomiPoco_X3","2462","cap3","-92","137","2024-03-21 11:37:02","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2417","cap3","-88","137","2024-03-21 11:35:58","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2412","cap1","-56","137","2024-03-21 11:35:58","0"
"FE:47:AD:D7:13:E2","XiaomiPoco_X3","2462","cap1","-58","137","2024-03-21 11:37:02","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2417","cap2","-60","137","2024-03-21 11:35:58","0"
"FE:47:AD:D7:13:E2","XiaomiPoco_X3","2462","cap2","-76","137","2024-03-21 11:37:02","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2412","cap1","-56","137","2024-03-21 11:35:58","0"
"FE:47:AD:D7:13:E2","XiaomiPoco_X3","2462","cap1","-58","137","2024-03-21 11:37:02","0"
"FE:47:AD:D7:13:E2","XiaomiPoco_X3","2462","cap3","-92","137","2024-03-21 11:37:02","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2417","cap3","-88","137","2024-03-21 11:35:58","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2417","cap2","-59","137","2024-03-21 11:35:58","0"
"FE:47:AD:D7:13:E2","XiaomiPoco_X3","2452","cap2","-79","137","2024-03-21 11:37:02","0"
"FE:47:AD:D7:13:E2","XiaomiPoco_X3","2462","cap1","-58","137","2024-03-21 11:37:02","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2412","cap1","-56","137","2024-03-21 11:35:58","0"
"FE:47:AD:D7:13:E2","XiaomiPoco_X3","2462","cap3","-92","137","2024-03-21 11:37:02","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2417","cap3","-88","137","2024-03-21 11:35:58","0"
"FE:47:AD:D7:13:E2","XiaomiPoco_X3","2452","cap2","-79","137","2024-03-21 11:37:02","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2417","cap2","-59","137","2024-03-21 11:35:58","0"
"FE:47:AD:D7:13:E2","XiaomiPoco_X3","2462","cap1","-67","137","2024-03-21 11:37:02","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2412","cap1","-55","137","2024-03-21 11:35:58","0"
"FE:47:AD:D7:13:E2","XiaomiPoco_X3","2452","cap2","-78","137","2024-03-21 11:37:02","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2417","cap2","-59","137","2024-03-21 11:35:58","0"
"EA:85:E9:38:7D:AA","Vivo_Y21T","2412","cap1","-55","137","2024-03-21 11:35:58","0"
"FE:47:AD:D7:13:E2","XiaomiPoco_X3","2462","cap1","-67","137","2024-03-21 11:37:02","0"
