"mac_address","ssid","channel","source","signal_strength","floorid","timestamp","roomid"
"9A:2D:BF:41:FF:44","RedmiNote_11","2422","cap2","-83","137","2024-04-11 15:46:07","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2432","cap2","-72","137","2024-04-11 15:46:07","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2442","cap1","-58","137","2024-04-11 15:46:08","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2447","cap1","-61","137","2024-04-11 15:46:08","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2462","cap1","-66","137","2024-04-11 15:46:08","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2412","cap2","-79","137","2024-04-11 15:46:09","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2432","cap2","-74","137","2024-04-11 15:46:09","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2417","cap2","-67","137","2024-04-11 15:46:09","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2417","cap2","-74","137","2024-04-11 15:46:09","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2437","cap3","-81","137","2024-04-11 15:46:09","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2437","cap3","-76","137","2024-04-11 15:46:09","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2447","cap1","-55","137","2024-04-11 15:46:10","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2447","cap1","-57","137","2024-04-11 15:46:10","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2462","cap1","-66","137","2024-04-11 15:46:10","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2417","cap2","-67","137","2024-04-11 15:46:11","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2417","cap2","-74","137","2024-04-11 15:46:11","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2412","cap2","-79","137","2024-04-11 15:46:11","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2437","cap2","-69","137","2024-04-11 15:46:11","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2447","cap2","-66","137","2024-04-11 15:46:11","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2452","cap1","-71","137","2024-04-11 15:46:12","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2422","cap1","-74","137","2024-04-11 15:46:12","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2452","cap1","-62","137","2024-04-11 15:46:12","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2412","cap1","-61","137","2024-04-11 15:46:12","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2412","cap1","-60","137","2024-04-11 15:46:12","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2412","cap1","-61","137","2024-04-11 15:46:12","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2417","cap2","-72","137","2024-04-11 15:46:12","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2437","cap2","-69","137","2024-04-11 15:46:12","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2417","cap2","-67","137","2024-04-11 15:46:12","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2412","cap2","-71","137","2024-04-11 15:46:12","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2447","cap2","-66","137","2024-04-11 15:46:12","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2427","cap3","-72","137","2024-04-11 15:46:12","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2412","cap3","-86","137","2024-04-11 15:46:12","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2412","cap3","-85","137","2024-04-11 15:46:12","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2437","cap3","-81","137","2024-04-11 15:46:12","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2452","cap1","-71","137","2024-04-11 15:46:13","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2427","cap1","-75","137","2024-04-11 15:46:13","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2427","cap1","-71","137","2024-04-11 15:46:13","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2417","cap1","-58","137","2024-04-11 15:46:13","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2437","cap1","-55","137","2024-04-11 15:46:13","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2437","cap1","-62","137","2024-04-11 15:46:13","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2417","cap2","-66","137","2024-04-11 15:46:13","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2422","cap2","-73","137","2024-04-11 15:46:13","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2447","cap2","-66","137","2024-04-11 15:46:13","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2417","cap2","-72","137","2024-04-11 15:46:13","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2427","cap2","-68","137","2024-04-11 15:46:13","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2427","cap1","-75","137","2024-04-11 15:46:14","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2427","cap1","-71","137","2024-04-11 15:46:14","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2417","cap1","-58","137","2024-04-11 15:46:14","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2442","cap1","-57","137","2024-04-11 15:46:14","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2437","cap1","-62","137","2024-04-11 15:46:14","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2452","cap1","-71","137","2024-04-11 15:46:14","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2437","cap3","-86","137","2024-04-11 15:46:14","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2432","cap3","-64","137","2024-04-11 15:46:14","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2412","cap3","-86","137","2024-04-11 15:46:14","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2412","cap3","-85","137","2024-04-11 15:46:14","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2417","cap1","-59","137","2024-04-11 15:46:15","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2442","cap1","-57","137","2024-04-11 15:46:15","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2437","cap1","-62","137","2024-04-11 15:46:15","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2452","cap1","-71","137","2024-04-11 15:46:15","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2417","cap1","-60","137","2024-04-11 15:46:15","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2417","cap1","-62","137","2024-04-11 15:46:15","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2417","cap2","-72","137","2024-04-11 15:46:15","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2427","cap2","-68","137","2024-04-11 15:46:15","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2417","cap2","-66","137","2024-04-11 15:46:15","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2422","cap2","-73","137","2024-04-11 15:46:15","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2447","cap2","-66","137","2024-04-11 15:46:15","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2427","cap2","-68","137","2024-04-11 15:46:16","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2417","cap2","-66","137","2024-04-11 15:46:16","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2422","cap2","-73","137","2024-04-11 15:46:16","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2447","cap2","-66","137","2024-04-11 15:46:16","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2417","cap2","-75","137","2024-04-11 15:46:16","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2412","cap3","-86","137","2024-04-11 15:46:17","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2417","cap3","-75","137","2024-04-11 15:46:17","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2437","cap3","-86","137","2024-04-11 15:46:17","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2432","cap3","-64","137","2024-04-11 15:46:17","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2447","cap1","-59","137","2024-04-11 15:46:17","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2447","cap1","-61","137","2024-04-11 15:46:17","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2452","cap1","-71","137","2024-04-11 15:46:17","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2427","cap1","-66","137","2024-04-11 15:46:17","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2417","cap1","-62","137","2024-04-11 15:46:17","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2422","cap1","-63","137","2024-04-11 15:46:17","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2412","cap2","-80","137","2024-04-11 15:46:18","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2422","cap2","-73","137","2024-04-11 15:46:18","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2447","cap2","-66","137","2024-04-11 15:46:18","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2417","cap2","-75","137","2024-04-11 15:46:18","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2437","cap2","-74","137","2024-04-11 15:46:18","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2452","cap1","-71","137","2024-04-11 15:46:18","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2427","cap1","-66","137","2024-04-11 15:46:18","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2417","cap1","-62","137","2024-04-11 15:46:18","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2422","cap1","-63","137","2024-04-11 15:46:18","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2447","cap1","-59","137","2024-04-11 15:46:18","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2447","cap1","-61","137","2024-04-11 15:46:18","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2452","cap1","-71","137","2024-04-11 15:46:19","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2427","cap1","-66","137","2024-04-11 15:46:19","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2417","cap1","-62","137","2024-04-11 15:46:19","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2422","cap1","-63","137","2024-04-11 15:46:19","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2447","cap1","-59","137","2024-04-11 15:46:19","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2447","cap1","-61","137","2024-04-11 15:46:19","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2437","cap3","-86","137","2024-04-11 15:46:20","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2432","cap3","-69","137","2024-04-11 15:46:20","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2412","cap3","-86","137","2024-04-11 15:46:20","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2417","cap3","-75","137","2024-04-11 15:46:20","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2417","cap2","-75","137","2024-04-11 15:46:20","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2437","cap2","-74","137","2024-04-11 15:46:20","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2412","cap2","-80","137","2024-04-11 15:46:20","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2422","cap2","-73","137","2024-04-11 15:46:20","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2447","cap2","-70","137","2024-04-11 15:46:20","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2417","cap1","-63","137","2024-04-11 15:46:21","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2422","cap1","-63","137","2024-04-11 15:46:21","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2417","cap1","-59","137","2024-04-11 15:46:21","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2432","cap1","-56","137","2024-04-11 15:46:21","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2447","cap1","-61","137","2024-04-11 15:46:21","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2452","cap1","-71","137","2024-04-11 15:46:21","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2437","cap2","-74","137","2024-04-11 15:46:21","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2412","cap2","-80","137","2024-04-11 15:46:21","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2412","cap2","-74","137","2024-04-11 15:46:21","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2447","cap2","-70","137","2024-04-11 15:46:21","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2412","cap2","-77","137","2024-04-11 15:46:21","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2447","cap1","-55","137","2024-04-11 15:46:22","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2447","cap1","-56","137","2024-04-11 15:46:22","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2452","cap1","-71","137","2024-04-11 15:46:22","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2417","cap1","-63","137","2024-04-11 15:46:22","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2422","cap1","-63","137","2024-04-11 15:46:22","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2417","cap1","-59","137","2024-04-11 15:46:22","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2442","cap3","-85","137","2024-04-11 15:46:22","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2442","cap3","-71","137","2024-04-11 15:46:22","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2412","cap3","-86","137","2024-04-11 15:46:22","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2417","cap3","-75","137","2024-04-11 15:46:22","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2417","cap2","-93","137","2024-04-11 15:46:22","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2417","cap2","-77","137","2024-04-11 15:46:22","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2447","cap2","-70","137","2024-04-11 15:46:22","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2412","cap2","-77","137","2024-04-11 15:46:22","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2437","cap2","-67","137","2024-04-11 15:46:22","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2447","cap1","-55","137","2024-04-11 15:46:24","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2447","cap1","-56","137","2024-04-11 15:46:24","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2462","cap1","-73","137","2024-04-11 15:46:24","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2417","cap1","-63","137","2024-04-11 15:46:24","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2422","cap1","-63","137","2024-04-11 15:46:24","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2417","cap1","-59","137","2024-04-11 15:46:24","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2447","cap2","-70","137","2024-04-11 15:46:24","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2412","cap2","-77","137","2024-04-11 15:46:24","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2437","cap2","-67","137","2024-04-11 15:46:24","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2417","cap2","-93","137","2024-04-11 15:46:24","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2417","cap2","-77","137","2024-04-11 15:46:24","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2412","cap3","-85","137","2024-04-11 15:46:24","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2412","cap3","-87","137","2024-04-11 15:46:24","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2412","cap3","-88","137","2024-04-11 15:46:24","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2442","cap3","-85","137","2024-04-11 15:46:24","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2427","cap3","-73","137","2024-04-11 15:46:24","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2437","cap1","-57","137","2024-04-11 15:46:25","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2437","cap1","-60","137","2024-04-11 15:46:25","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2462","cap1","-73","137","2024-04-11 15:46:25","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2417","cap1","-54","137","2024-04-11 15:46:25","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2417","cap1","-56","137","2024-04-11 15:46:25","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2417","cap1","-63","137","2024-04-11 15:46:25","0"
"9A:2D:BF:41:FF:44","RedmiNote_11","2417","cap2","-82","137","2024-04-11 15:46:25","0"
"FA:1D:F1:D2:63:D6","TechnoCamon_20","2432","cap2","-73","137","2024-04-11 15:46:25","0"
"82:9A:FF:F6:5C:EB","Vivo_Y21T","2417","cap2","-93","137","2024-04-11 15:46:25","0"
