"mac_address","ssid","channel","source","signal_strength","floorid","timestamp","roomid"
"72:4C:32:82:D4:14","Xiaomi_10T","2417","cap2","-69","170","2024-04-18 15:38:23","0"
"3A:72:4C:11:E3:D8","Vivo_Y21T","2447","cap2","-71","170","2024-04-18 15:38:23","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2417","cap1","-67","170","2024-04-18 15:38:23","0"
"3A:72:4C:11:E3:D8","Vivo_Y21T","2447","cap1","-61","170","2024-04-18 15:38:23","0"
"BE:EF:A0:FC:BA:DB","TechnoCamon_20","2447","cap1","-70","170","2024-04-18 15:38:23","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2452","cap1","-59","170","2024-04-18 15:38:23","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2452","cap1","-67","170","2024-04-18 15:38:23","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2422","cap2","-73","170","2024-04-18 15:38:24","0"
"3A:72:4C:11:E3:D8","Vivo_Y21T","2447","cap2","-71","170","2024-04-18 15:38:24","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2457","cap2","-64","170","2024-04-18 15:38:24","0"
"BA:7E:06:E6:C9:C4","RedmiNote_11","2462","cap2","-59","170","2024-04-18 15:38:24","0"
"BE:EF:A0:FC:BA:DB","TechnoCamon_20","2462","cap2","-75","170","2024-04-18 15:38:24","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2422","cap1","-67","170","2024-04-18 15:38:24","0"
"3A:72:4C:11:E3:D8","Vivo_Y21T","2427","cap1","-60","170","2024-04-18 15:38:24","0"
"BE:EF:A0:FC:BA:DB","TechnoCamon_20","2462","cap1","-48","170","2024-04-18 15:38:24","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2462","cap1","-51","170","2024-04-18 15:38:24","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2452","cap1","-67","170","2024-04-18 15:38:24","0"
"BA:7E:06:E6:C9:C4","RedmiNote_11","2462","cap1","-51","170","2024-04-18 15:38:24","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2412","cap3","-88","170","2024-04-18 15:38:25","0"
"3A:72:4C:11:E3:D8","Vivo_Y21T","2437","cap3","-76","170","2024-04-18 15:38:25","0"
"BE:EF:A0:FC:BA:DB","TechnoCamon_20","2452","cap3","-78","170","2024-04-18 15:38:25","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2457","cap2","-64","170","2024-04-18 15:38:25","0"
"BA:7E:06:E6:C9:C4","RedmiNote_11","2462","cap2","-59","170","2024-04-18 15:38:25","0"
"BE:EF:A0:FC:BA:DB","TechnoCamon_20","2462","cap2","-75","170","2024-04-18 15:38:25","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2422","cap2","-73","170","2024-04-18 15:38:25","0"
"3A:72:4C:11:E3:D8","Vivo_Y21T","2437","cap2","-70","170","2024-04-18 15:38:25","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2412","cap3","-88","170","2024-04-18 15:38:26","0"
"3A:72:4C:11:E3:D8","Vivo_Y21T","2427","cap3","-82","170","2024-04-18 15:38:26","0"
"BE:EF:A0:FC:BA:DB","TechnoCamon_20","2462","cap3","-74","170","2024-04-18 15:38:26","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2462","cap3","-69","170","2024-04-18 15:38:26","0"
"BA:7E:06:E6:C9:C4","RedmiNote_11","2462","cap3","-82","170","2024-04-18 15:38:26","0"
"BE:EF:A0:FC:BA:DB","TechnoCamon_20","2462","cap1","-48","170","2024-04-18 15:38:26","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2462","cap1","-51","170","2024-04-18 15:38:26","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2452","cap1","-67","170","2024-04-18 15:38:26","0"
"BA:7E:06:E6:C9:C4","RedmiNote_11","2462","cap1","-51","170","2024-04-18 15:38:26","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2422","cap1","-67","170","2024-04-18 15:38:26","0"
"3A:72:4C:11:E3:D8","Vivo_Y21T","2442","cap1","-55","170","2024-04-18 15:38:26","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2422","cap2","-73","170","2024-04-18 15:38:27","0"
"3A:72:4C:11:E3:D8","Vivo_Y21T","2447","cap2","-72","170","2024-04-18 15:38:27","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2457","cap2","-64","170","2024-04-18 15:38:27","0"
"BA:7E:06:E6:C9:C4","RedmiNote_11","2462","cap2","-59","170","2024-04-18 15:38:27","0"
"BE:EF:A0:FC:BA:DB","TechnoCamon_20","2462","cap2","-75","170","2024-04-18 15:38:27","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2457","cap2","-67","170","2024-04-18 15:38:27","0"
"3A:72:4C:11:E3:D8","Vivo_Y21T","2422","cap1","-84","170","2024-04-18 15:38:27","0"
"BE:EF:A0:FC:BA:DB","TechnoCamon_20","2462","cap1","-50","170","2024-04-18 15:38:27","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2462","cap1","-62","170","2024-04-18 15:38:27","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2452","cap1","-67","170","2024-04-18 15:38:27","0"
"BA:7E:06:E6:C9:C4","RedmiNote_11","2457","cap1","-59","170","2024-04-18 15:38:27","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2422","cap1","-63","170","2024-04-18 15:38:27","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2412","cap3","-88","170","2024-04-18 15:38:28","0"
"3A:72:4C:11:E3:D8","Vivo_Y21T","2442","cap3","-77","170","2024-04-18 15:38:28","0"
"BE:EF:A0:FC:BA:DB","TechnoCamon_20","2462","cap3","-74","170","2024-04-18 15:38:28","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2462","cap3","-69","170","2024-04-18 15:38:28","0"
"BA:7E:06:E6:C9:C4","RedmiNote_11","2462","cap3","-82","170","2024-04-18 15:38:28","0"
"BA:7E:06:E6:C9:C4","RedmiNote_11","2462","cap1","-54","170","2024-04-18 15:38:28","0"
"3A:72:4C:11:E3:D8","Vivo_Y21T","2427","cap2","-73","170","2024-04-18 15:38:28","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2422","cap1","-63","170","2024-04-18 15:38:28","0"
"3A:72:4C:11:E3:D8","Vivo_Y21T","2432","cap1","-54","170","2024-04-18 15:38:28","0"
"BE:EF:A0:FC:BA:DB","TechnoCamon_20","2462","cap1","-50","170","2024-04-18 15:38:28","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2462","cap1","-62","170","2024-04-18 15:38:28","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2452","cap1","-67","170","2024-04-18 15:38:28","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2462","cap2","-71","170","2024-04-18 15:38:28","0"
"BA:7E:06:E6:C9:C4","RedmiNote_11","2462","cap2","-61","170","2024-04-18 15:38:28","0"
"BE:EF:A0:FC:BA:DB","TechnoCamon_20","2462","cap2","-68","170","2024-04-18 15:38:28","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2462","cap2","-56","170","2024-04-18 15:38:28","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2417","cap2","-69","170","2024-04-18 15:38:28","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2462","cap2","-71","170","2024-04-18 15:38:30","0"
"BA:7E:06:E6:C9:C4","RedmiNote_11","2462","cap2","-61","170","2024-04-18 15:38:30","0"
"BE:EF:A0:FC:BA:DB","TechnoCamon_20","2462","cap2","-68","170","2024-04-18 15:38:30","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2462","cap2","-56","170","2024-04-18 15:38:30","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2417","cap2","-69","170","2024-04-18 15:38:30","0"
"3A:72:4C:11:E3:D8","Vivo_Y21T","2442","cap2","-69","170","2024-04-18 15:38:30","0"
"BA:7E:06:E6:C9:C4","RedmiNote_11","2462","cap3","-79","170","2024-04-18 15:38:30","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2417","cap3","-84","170","2024-04-18 15:38:30","0"
"3A:72:4C:11:E3:D8","Vivo_Y21T","2442","cap3","-77","170","2024-04-18 15:38:30","0"
"BE:EF:A0:FC:BA:DB","TechnoCamon_20","2462","cap3","-75","170","2024-04-18 15:38:30","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2462","cap3","-73","170","2024-04-18 15:38:30","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2462","cap3","-81","170","2024-04-18 15:38:30","0"
"72:4C:32:82:D4:14","Xiaomi_10T","2422","cap1","-63","170","2024-04-18 15:38:31","0"
"3A:72:4C:11:E3:D8","Vivo_Y21T","2452","cap1","-75","170","2024-04-18 15:38:31","0"
"BE:EF:A0:FC:BA:DB","TechnoCamon_20","2447","cap1","-72","170","2024-04-18 15:38:31","0"
"7E:FC:CE:EF:2C:79","Realme_6Pro","2462","cap1","-62","170","2024-04-18 15:38:31","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2452","cap1","-67","170","2024-04-18 15:38:31","0"
"BA:7E:06:E6:C9:C4","RedmiNote_11","2462","cap1","-54","170","2024-04-18 15:38:31","0"
"BA:7E:06:E6:C9:C4","RedmiNote_11","2457","cap2","-57","170","2024-04-18 15:38:31","0"
"BE:EF:A0:FC:BA:DB","TechnoCamon_20","2462","cap2","-67","170","2024-04-18 15:38:31","0"
"7A:07:6D:FA:11:B4","Xiaomipoco_X3","2462","cap2","-56","170","2024-04-18 15:38:31","0"
