timestamp,Realme_6Pro,RedmiNote_11,Vivo_Y21T
2024-04-11 15:46:13,,,-58.0
2024-04-11 15:46:14,,,-58.0
2024-04-11 15:46:15,-62.0,-60.0,-59.0
2024-04-11 15:46:17,-62.0,,
2024-04-11 15:46:18,-62.0,,
2024-04-11 15:46:19,-62.0,,
2024-04-11 15:46:21,,-63.0,-59.0
2024-04-11 15:46:22,,-63.0,-59.0
2024-04-11 15:46:24,,-63.0,-59.0
2024-04-11 15:46:25,-56.0,-54.0,-63.0
2024-04-11 15:46:26,-56.0,-54.0,
2024-04-11 15:46:27,-56.0,-54.0,
2024-04-11 15:46:28,-55.0,,-54.0
2024-04-11 15:46:29,-55.0,,
2024-04-11 15:46:30,-55.0,,
2024-04-11 15:46:31,-51.0,-60.0,-54.0
2024-04-11 15:46:33,-51.0,,-54.0
2024-04-11 15:46:34,-51.0,,-54.0
2024-04-11 15:46:36,-51.0,,-54.0
2024-04-11 15:46:37,-52.0,,-56.0
2024-04-11 15:46:38,-52.0,,-56.0
2024-04-11 15:46:39,-52.0,,-56.0
2024-04-11 15:46:41,-53.0,-57.0,-60.0
2024-04-11 15:46:42,-53.0,-57.0,-60.0
2024-04-11 15:46:43,-53.0,-57.0,-60.0
2024-04-11 15:46:45,-66.0,,-55.0
2024-04-11 15:46:46,,,-55.0
2024-04-11 15:46:47,,,-55.0
2024-04-11 15:46:49,,-61.0,
2024-04-11 15:46:50,,-61.0,
2024-04-11 15:46:52,,-61.0,
2024-04-11 15:46:53,,-50.0,-51.0
2024-04-11 15:46:56,,-61.0,
2024-04-11 15:47:01,-72.0,,-60.0
2024-04-11 15:47:02,-72.0,,-60.0
2024-04-11 15:47:04,-72.0,,-60.0
2024-04-11 15:47:07,,-51.0,-64.0
2024-04-11 15:47:08,,,-64.0
2024-04-11 15:47:10,,,-64.0
2024-04-11 15:47:11,-62.0,-59.0,-59.0
2024-04-11 15:47:12,-62.0,,
2024-04-11 15:47:13,-62.0,,
2024-04-11 15:47:14,-57.0,-54.0,-61.0
2024-04-11 15:47:15,,-54.0,-61.0
2024-04-11 15:47:17,,-54.0,-61.0
2024-04-11 15:47:19,-67.0,,
2024-04-11 15:47:20,-67.0,,-69.0
2024-04-11 15:47:21,,,-69.0
2024-04-11 15:47:23,-67.0,,-69.0
2024-04-11 15:47:29,,-56.0,-71.0
2024-04-11 15:47:30,,-56.0,-71.0
2024-04-11 15:47:31,,-55.0,-68.0
2024-04-11 15:47:32,,,-65.0
2024-04-11 15:47:34,,,-65.0
2024-04-11 15:47:35,-72.0,,-65.0
2024-04-11 15:47:36,,,-65.0
2024-04-11 15:47:37,,,-65.0
2024-04-11 15:47:38,,-53.0,
2024-04-11 15:47:40,,,-63.0
2024-04-11 15:47:41,-71.0,-53.0,-63.0
2024-04-11 15:47:42,-71.0,-53.0,-63.0
2024-04-11 15:47:43,-71.0,-53.0,-63.0
2024-04-11 15:47:44,,-57.0,-66.0
2024-04-11 15:47:45,,,-66.0
2024-04-11 15:47:46,,,-66.0
2024-04-11 15:47:47,-57.0,-51.0,-59.0
2024-04-11 15:47:48,-57.0,-51.0,
2024-04-11 15:47:49,-57.0,-51.0,
2024-04-11 15:47:51,-56.0,-54.0,-58.0
2024-04-11 15:47:52,,-54.0,
2024-04-11 15:47:53,,-54.0,
2024-04-11 15:47:55,,-54.0,
2024-04-11 15:47:57,,,-70.0
2024-04-11 15:47:58,,,-70.0
2024-04-11 15:47:59,,-57.0,-69.0
2024-04-11 15:48:00,,-57.0,
2024-04-11 15:48:02,,-57.0,
2024-04-11 15:48:04,,-51.0,
2024-04-11 15:48:05,,,-60.0
2024-04-11 15:48:06,,-51.0,-60.0
2024-04-11 15:48:08,,-51.0,
2024-04-11 15:48:12,-56.0,,
2024-04-11 15:48:13,-56.0,,
2024-04-11 15:48:14,-56.0,,
2024-04-11 15:48:15,,-52.0,
2024-04-11 15:48:20,,-52.0,-68.0
2024-04-11 15:48:21,,-52.0,-68.0
2024-04-11 15:48:22,,-52.0,-68.0
2024-04-11 15:48:24,,-52.0,-68.0
2024-04-11 15:48:26,,,-68.0
2024-04-11 15:48:27,,,-68.0
2024-04-11 15:48:29,,,-68.0
2024-04-11 15:48:30,,,-68.0
2024-04-11 15:48:38,-56.0,-46.0,-62.0
2024-04-11 15:48:39,-56.0,,
2024-04-11 15:48:40,-56.0,,
2024-04-11 15:48:42,,-49.0,-64.0
2024-04-11 15:48:45,,,-64.0
2024-04-11 15:48:46,,,-64.0
2024-04-11 15:48:51,-68.0,,
2024-04-11 15:48:52,-68.0,,
2024-04-11 15:48:55,-68.0,,
2024-04-11 15:48:56,-62.0,,
2024-04-11 15:49:00,,-51.0,
2024-04-11 15:49:02,,-51.0,
2024-04-11 15:49:03,,-51.0,
2024-04-11 15:49:05,,,-70.0
2024-04-11 15:49:06,,,-70.0
2024-04-11 15:49:09,,,-70.0
2024-04-11 15:49:10,,-57.0,
2024-04-11 15:49:11,,-57.0,
2024-04-11 15:49:12,,,-72.0
2024-04-11 15:49:15,,,-72.0
2024-04-11 15:49:16,,,-72.0
2024-04-11 15:49:17,-65.0,,
2024-04-11 15:49:19,-65.0,,
2024-04-11 15:49:22,,-57.0,
