mac_address,ssid,channel,source,signal_strength,floorid,timestamp,roomid
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-56,137,21/03/2024 11:26,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2442,cap1,-52,137,21/03/2024 11:26,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2447,cap1,-66,137,21/03/2024 11:26,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2457,cap1,-60,137,21/03/2024 11:26,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-63,137,21/03/2024 11:26,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2442,cap1,-52,137,21/03/2024 11:26,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-63,137,21/03/2024 11:26,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2442,cap1,-51,137,21/03/2024 11:26,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2452,cap1,-51,137,21/03/2024 11:26,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap1,-60,137,21/03/2024 11:26,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2442,cap1,-51,137,21/03/2024 11:26,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2457,cap1,-52,137,21/03/2024 11:26,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap1,-51,137,21/03/2024 11:29,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-59,137,21/03/2024 11:29,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2447,cap1,-54,137,21/03/2024 11:29,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap1,-42,137,21/03/2024 11:29,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap1,-65,137,21/03/2024 11:29,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-62,137,21/03/2024 11:29,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2447,cap1,-54,137,21/03/2024 11:29,0
82:17:39:53:9F:56,RedmiNote_11,2412,cap1,-56,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-60,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap1,-52,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap2,-72,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2442,cap2,-65,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2452,cap2,-64,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-57,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2447,cap1,-51,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2422,cap1,-62,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap1,-42,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2422,cap1,-62,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-57,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2442,cap1,-50,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap1,-42,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap3,-91,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap3,-91,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2422,cap2,-74,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2442,cap2,-65,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap2,-59,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2422,cap2,-70,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2422,cap2,-74,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2447,cap2,-68,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap2,-59,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2422,cap2,-70,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap1,-43,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2422,cap1,-62,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-61,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2442,cap1,-50,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap3,-91,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap3,-83,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap3,-91,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap2,-61,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap2,-70,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2447,cap2,-68,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap2,-59,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap1,-50,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap1,-43,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2422,cap1,-62,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-61,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap3,-83,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap3,-91,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap3,-91,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap2,-70,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2447,cap2,-68,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap2,-59,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap2,-61,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2422,cap1,-62,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-61,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap1,-50,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2447,cap1,-61,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap3,-91,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2412,cap3,-9,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap3,-91,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap2,-69,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2457,cap2,-63,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap2,-61,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap2,-70,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap2,-63,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap2,-70,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap2,-69,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap2,-58,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap1,-44,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2422,cap1,-62,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-61,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap1,-50,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap3,-91,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap3,-91,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2412,cap3,-93,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap2,-70,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2432,cap2,-58,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap2,-58,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2422,cap2,-67,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2422,cap1,-62,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-61,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2442,cap1,-59,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap1,-44,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap3,-91,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2412,cap3,-93,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap3,-91,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap2,-70,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2447,cap2,-68,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap2,-58,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2422,cap2,-67,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2452,cap1,-65,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2457,cap1,-54,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap1,-53,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-61,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2412,cap3,-93,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap3,-91,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap3,-88,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap2,-70,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2452,cap2,-81,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap2,-61,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2412,cap2,-68,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap1,-47,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap1,-53,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-61,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2452,cap1,-65,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2422,cap2,-83,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2452,cap2,-81,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap2,-61,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2422,cap2,-67,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap3,-91,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap3,-88,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2412,cap3,-93,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2422,cap2,-83,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2452,cap2,-81,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap2,-61,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap1,-53,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-61,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2452,cap1,-65,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap1,-47,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap3,-88,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2412,cap3,-91,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap3,-89,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap3,-91,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2422,cap2,-67,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2422,cap2,-83,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2452,cap2,-81,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2447,cap1,-53,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2452,cap1,-50,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap1,-54,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-65,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap3,-84,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap3,-89,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap3,-91,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap3,-90,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2447,cap2,-76,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2422,cap2,-67,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap2,-79,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap1,-51,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap1,-54,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-65,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2432,cap1,-48,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap3,-89,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap3,-91,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap3,-90,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap3,-84,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2452,cap2,-81,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap2,-60,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2412,cap2,-69,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap1,-54,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-65,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2442,cap1,-45,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap1,-51,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2452,cap2,-81,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap2,-60,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap2,-66,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap2,-79,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap2,-64,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap2,-60,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap2,-66,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2457,cap3,-85,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap3,-91,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap3,-90,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap3,-85,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap1,-51,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap1,-65,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2442,cap1,-45,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2457,cap1,-47,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap2,-79,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap2,-64,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2457,cap2,-59,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap2,-66,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap3,-91,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2432,cap3,-90,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap3,-85,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2457,cap3,-85,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2422,cap1,-63,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2442,cap1,-45,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap1,-61,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap1,-51,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2417,cap2,-76,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2437,cap2,-64,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2457,cap2,-59,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2412,cap2,-70,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2432,cap3,-90,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap3,-85,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2457,cap3,-85,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2412,cap3,-91,137,21/03/2024 11:30,0
3E:5D:7E:13:9A:35,TechnoCamon_20,2442,cap1,-46,137,21/03/2024 11:30,0
7E:FC:CE:EF:2C:79,Realme_6Pro,2462,cap1,-61,137,21/03/2024 11:30,0
82:17:39:53:9F:56,RedmiNote_11,2417,cap1,-51,137,21/03/2024 11:30,0
72:4C:32:82:D4:14,Xiaomi_10T,2422,cap1,-63,137,21/03/2024 11:30,0
