mac_address,ssid,channel,source,signal_strength,floorid,timestamp,roomid
EA:5D:3C:05:E5:DD,C2,2462,cap1,-85,1,13/12/2023 16:21,214
EA:5D:3C:05:E5:DD,C2,2452,cap2,-66,1,13/12/2023 16:21,214
FE:47:AD:D7:13:E2,C1,2452,cap2,-65,1,13/12/2023 16:21,214
EA:5D:3C:05:E5:DD,C2,2462,cap1,-85,1,13/12/2023 16:21,214
FE:47:AD:D7:13:E2,C1,2462,cap1,-78,1,13/12/2023 16:21,214
EA:5D:3C:05:E5:DD,C2,2462,cap2,-61,1,13/12/2023 16:21,214
FE:47:AD:D7:13:E2,C1,2462,cap2,-58,1,13/12/2023 16:21,214
EA:5D:3C:05:E5:DD,C2,2462,cap1,-85,1,13/12/2023 16:21,214
FE:47:AD:D7:13:E2,C1,2462,cap1,-78,1,13/12/2023 16:21,214
EA:5D:3C:05:E5:DD,C2,2462,cap2,-61,1,13/12/2023 16:21,214
FE:47:AD:D7:13:E2,C1,2462,cap2,-58,1,13/12/2023 16:21,214
EA:5D:3C:05:E5:DD,C2,2452,cap1,-76,1,13/12/2023 16:21,214
FE:47:AD:D7:13:E2,C1,2462,cap1,-78,1,13/12/2023 16:21,214
EA:5D:3C:05:E5:DD,C2,2462,cap2,-61,1,13/12/2023 16:21,214
FE:47:AD:D7:13:E2,C1,2462,cap2,-58,1,13/12/2023 16:21,214
FE:47:AD:D7:13:E2,C1,2462,cap1,-75,1,13/12/2023 16:21,214
EA:5D:3C:05:E5:DD,C2,2462,cap1,-78,1,13/12/2023 16:21,214
EA:5D:3C:05:E5:DD,C2,2447,cap2,-71,1,13/12/2023 16:21,214
FE:47:AD:D7:13:E2,C1,2452,cap2,-63,1,13/12/2023 16:21,214
EA:5D:3C:05:E5:DD,C2,2462,cap1,-78,1,13/12/2023 16:21,214
FE:47:AD:D7:13:E2,C1,2462,cap1,-75,1,13/12/2023 16:21,214
EA:5D:3C:05:E5:DD,C2,2462,cap2,-57,1,13/12/2023 16:21,214
