channel,floorid,mac_address,roomid,signal_strength,source,ssid,timestamp
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-69.6686,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-71.4317,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-71.4317,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-71.6276,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-71.6276,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-71.6276,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-71.6276,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-59.007000000000005,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-71.6276,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-59.007000000000005,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-71.6276,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-59.007000000000005,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-71.4317,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-59.007000000000005,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.179,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-71.4317,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-71.4317,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.179,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.179,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-77.55739999999999,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-77.55739999999999,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.179,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-77.55739999999999,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.179,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.179,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-77.55739999999999,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.179,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-72.41120000000001,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-72.41120000000001,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-72.41120000000001,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-72.2153,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-72.2153,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-72.2153,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-77.702,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-77.702,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-77.702,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-77.702,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-72.41120000000001,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-72.41120000000001,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-72.41120000000001,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-77.3646,cap2,Redmi Note 11,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-77.3646,cap2,Redmi Note 11,2023-12-13 16:21:03
2417.0,55.0,B2:D1:05:BC:12:16,214.0,-60.259,cap1,Realme 6 Pro,2023-12-13 16:21:03
2412.0,55.0,B2:D1:05:BC:12:16,214.0,-77.3646,cap2,Redmi Note 11,2023-12-13 16:21:03
