"mac_address","ssid","signal_strength","source","channel","floorid","timestamp"
"F6:CE:87:F2:06:21","C5","2422","cap1","-67","101","2023-11-10 14:44:01"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-62","101","2023-11-10 14:44:01"
"02:9D:2F:8D:49:90","C6","2417","cap1","-57","101","2023-11-10 14:44:01"
"FE:47:AD:D7:13:E2","C1","2437","cap1","-54","101","2023-11-10 14:44:01"
"56:3A:A2:F8:0C:63","C3","2432","cap1","-78","101","2023-11-10 14:44:01"
"02:9D:2F:8D:49:90","C6","2422","cap1","-70","101","2023-11-10 14:44:16"
"F6:CE:87:F2:06:21","C5","2417","cap1","-69","101","2023-11-10 14:44:16"
"02:9D:2F:8D:49:90","C6","2417","cap2","-74","101","2023-11-10 14:44:18"
"F6:CE:87:F2:06:21","C5","2412","cap2","-81","101","2023-11-10 14:44:18"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-82","101","2023-11-10 14:44:18"
"FE:47:AD:D7:13:E2","C1","2432","cap2","-68","101","2023-11-10 14:44:18"
"FE:47:AD:D7:13:E2","C1","2437","cap3","-89","101","2023-11-10 14:44:20"
"F6:CE:87:F2:06:21","C5","2417","cap1","-61","101","2023-11-10 14:44:32"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-62","101","2023-11-10 14:44:32"
"02:9D:2F:8D:49:90","C6","2422","cap1","-68","101","2023-11-10 14:44:32"
"FE:47:AD:D7:13:E2","C1","2447","cap1","-61","101","2023-11-10 14:44:32"
"7A:6B:C2:5A:7B:88","C8","2442","cap1","-69","101","2023-11-10 14:44:32"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-77","101","2023-11-10 14:44:33"
"02:9D:2F:8D:49:90","C6","2412","cap2","-86","101","2023-11-10 14:44:33"
"52:39:94:90:76:D2","C10","2437","cap2","-78","101","2023-11-10 14:44:33"
"02:9D:2F:8D:49:90","C6","2412","cap3","-94","101","2023-11-10 14:44:36"
"F6:CE:87:F2:06:21","C5","2412","cap3","-93","101","2023-11-10 14:44:36"
"FE:47:AD:D7:13:E2","C1","2437","cap3","-90","101","2023-11-10 14:44:36"
"02:9D:2F:8D:49:90","C6","2422","cap1","-73","101","2023-11-10 14:44:47"
"F6:CE:87:F2:06:21","C5","2412","cap1","-59","101","2023-11-10 14:44:47"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-71","101","2023-11-10 14:44:47"
"FE:47:AD:D7:13:E2","C1","2447","cap1","-64","101","2023-11-10 14:44:47"
"02:9D:2F:8D:49:90","C6","2417","cap2","-80","101","2023-11-10 14:44:49"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-76","101","2023-11-10 14:44:49"
"F6:CE:87:F2:06:21","C5","2412","cap2","-76","101","2023-11-10 14:44:49"
"52:39:94:90:76:D2","C10","2437","cap2","-85","101","2023-11-10 14:44:49"
"02:9D:2F:8D:49:90","C6","2412","cap3","-94","101","2023-11-10 14:44:53"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-63","101","2023-11-10 14:45:02"
"02:9D:2F:8D:49:90","C6","2417","cap1","-69","101","2023-11-10 14:45:02"
"FE:47:AD:D7:13:E2","C1","2442","cap1","-48","101","2023-11-10 14:45:02"
"F6:CE:87:F2:06:21","C5","2412","cap2","-70","101","2023-11-10 14:45:04"
"02:9D:2F:8D:49:90","C6","2412","cap2","-75","101","2023-11-10 14:45:04"
"FE:47:AD:D7:13:E2","C1","2437","cap2","-76","101","2023-11-10 14:45:04"
"56:3A:A2:F8:0C:63","C3","2442","cap2","-77","101","2023-11-10 14:45:04"
"02:9D:2F:8D:49:90","C6","2417","cap3","-87","101","2023-11-10 14:45:10"
"F6:CE:87:F2:06:21","C5","2417","cap3","-87","101","2023-11-10 14:45:10"
"02:9D:2F:8D:49:90","C6","2422","cap1","-64","101","2023-11-10 14:45:18"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-67","101","2023-11-10 14:45:18"
"F6:CE:87:F2:06:21","C5","2417","cap1","-62","101","2023-11-10 14:45:18"
"FE:47:AD:D7:13:E2","C1","2437","cap1","-56","101","2023-11-10 14:45:18"
"1E:03:B6:E0:9E:3C","C2","2442","cap1","-67","101","2023-11-10 14:45:18"
"7A:6B:C2:5A:7B:88","C8","2447","cap1","-68","101","2023-11-10 14:45:18"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-79","101","2023-11-10 14:45:19"
"02:9D:2F:8D:49:90","C6","2417","cap2","-69","101","2023-11-10 14:45:19"
"FE:47:AD:D7:13:E2","C1","2437","cap2","-73","101","2023-11-10 14:45:19"
"52:39:94:90:76:D2","C10","2432","cap2","-72","101","2023-11-10 14:45:19"
"1E:03:B6:E0:9E:3C","C2","2437","cap3","-89","101","2023-11-10 14:45:25"
"02:9D:2F:8D:49:90","C6","2412","cap1","-63","101","2023-11-10 14:45:34"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-67","101","2023-11-10 14:45:34"
"FE:47:AD:D7:13:E2","C1","2447","cap1","-58","101","2023-11-10 14:45:34"
"56:3A:A2:F8:0C:63","C3","2447","cap1","-74","101","2023-11-10 14:45:34"
"02:9D:2F:8D:49:90","C6","2422","cap2","-74","101","2023-11-10 14:45:35"
"F6:CE:87:F2:06:21","C5","2412","cap2","-67","101","2023-11-10 14:45:35"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-83","101","2023-11-10 14:45:35"
"1E:03:B6:E0:9E:3C","C2","2437","cap2","-79","101","2023-11-10 14:45:35"
"52:39:94:90:76:D2","C10","2437","cap2","-78","101","2023-11-10 14:45:35"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-65","101","2023-11-10 14:45:50"
"02:9D:2F:8D:49:90","C6","2422","cap1","-68","101","2023-11-10 14:45:50"
"56:3A:A2:F8:0C:63","C3","2432","cap1","-67","101","2023-11-10 14:45:50"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-83","101","2023-11-10 14:45:51"
"02:9D:2F:8D:49:90","C6","2412","cap2","-74","101","2023-11-10 14:45:51"
"FE:47:AD:D7:13:E2","C1","2427","cap2","-75","101","2023-11-10 14:45:51"
"52:39:94:90:76:D2","C10","2427","cap2","-80","101","2023-11-10 14:45:51"
"1E:03:B6:E0:9E:3C","C2","2427","cap2","-79","101","2023-11-10 14:45:51"
"F6:CE:87:F2:06:21","C5","2422","cap1","-59","101","2023-11-10 14:46:05"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-66","101","2023-11-10 14:46:05"
"02:9D:2F:8D:49:90","C6","2417","cap1","-65","101","2023-11-10 14:46:05"
"56:3A:A2:F8:0C:63","C3","2437","cap1","-80","101","2023-11-10 14:46:05"
"1E:03:B6:E0:9E:3C","C2","2437","cap1","-63","101","2023-11-10 14:46:05"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-80","101","2023-11-10 14:46:07"
"02:9D:2F:8D:49:90","C6","2412","cap2","-76","101","2023-11-10 14:46:07"
"1E:03:B6:E0:9E:3C","C2","2442","cap2","-81","101","2023-11-10 14:46:07"
"FE:47:AD:D7:13:E2","C1","2437","cap2","-79","101","2023-11-10 14:46:07"
"7A:6B:C2:5A:7B:88","C8","2437","cap2","-80","101","2023-11-10 14:46:07"
"56:3A:A2:F8:0C:63","C3","2432","cap2","-77","101","2023-11-10 14:46:07"
"F6:CE:87:F2:06:21","C5","2417","cap3","-86","101","2023-11-10 14:46:11"
"02:9D:2F:8D:49:90","C6","2412","cap3","-92","101","2023-11-10 14:46:11"
