mac_address,ssid,channel,source,signal_strength,floorid,latitude,longitude,timestamp
FE:47:AD:D7:13:E2,C1,2447,cap2,-62,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2447,cap2,-69,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2442,cap1,-69,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2452,cap1,-82,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2437,cap3,-80,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2447,cap2,-62,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2447,cap2,-69,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2437,cap3,-80,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2437,cap1,-64,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2437,cap1,-55,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2432,cap2,-65,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2447,cap2,-69,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2447,cap2,-70,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2447,cap2,-68,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2437,cap3,-83,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2437,cap3,-90,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2447,cap1,-67,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2447,cap1,-58,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2447,cap2,-68,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2447,cap2,-70,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2447,cap3,-84,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2437,cap3,-90,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2432,cap1,-64,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2447,cap1,-58,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2447,cap2,-68,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2447,cap2,-70,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2437,cap3,-90,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2447,cap3,-84,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2447,cap2,-68,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2432,cap2,-74,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2437,cap3,-90,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2432,cap3,-77,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2442,cap1,-65,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2447,cap1,-59,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2442,cap2,-60,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2447,cap2,-69,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2442,cap3,-79,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2437,cap3,-90,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2442,cap1,-65,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2447,cap1,-59,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2442,cap2,-60,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2447,cap2,-69,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2442,cap2,-60,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2432,cap1,-78,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2432,cap1,-65,189,7.065837087,125.5964439,28/11/2023 9:13
FE:47:AD:D7:13:E2,C1,2442,cap3,-79,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2437,cap3,-90,189,7.065837087,125.5964439,28/11/2023 9:13
DA:71:6E:D0:03:D4,C2,2447,cap2,-69,189,7.065837087,125.5964439,28/11/2023 9:14
FE:47:AD:D7:13:E2,C1,2427,cap3,-85,189,7.065837087,125.5964439,28/11/2023 9:14
DA:71:6E:D0:03:D4,C2,2437,cap3,-90,189,7.065837087,125.5964439,28/11/2023 9:14
DA:71:6E:D0:03:D4,C2,2447,cap1,-67,189,7.065837087,125.5964439,28/11/2023 9:14
FE:47:AD:D7:13:E2,C1,2442,cap1,-62,189,7.065837087,125.5964439,28/11/2023 9:14
