"mac_address","ssid","channel","source","signal_strength","floorid","timestamp"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-62","189","2023-11-28 09:13:48"
"DA:71:6E:D0:03:D4","C2","2447","cap2","-69","189","2023-11-28 09:13:48"
"DA:71:6E:D0:03:D4","C2","2442","cap1","-69","189","2023-11-28 09:13:49"
"FE:47:AD:D7:13:E2","C1","2452","cap1","-82","189","2023-11-28 09:13:49"
"FE:47:AD:D7:13:E2","C1","2437","cap3","-80","189","2023-11-28 09:13:50"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-62","189","2023-11-28 09:13:50"
"DA:71:6E:D0:03:D4","C2","2447","cap2","-69","189","2023-11-28 09:13:50"
"FE:47:AD:D7:13:E2","C1","2437","cap3","-80","189","2023-11-28 09:13:51"
"DA:71:6E:D0:03:D4","C2","2437","cap1","-64","189","2023-11-28 09:13:51"
"FE:47:AD:D7:13:E2","C1","2437","cap1","-55","189","2023-11-28 09:13:51"
"FE:47:AD:D7:13:E2","C1","2432","cap2","-65","189","2023-11-28 09:13:51"
"DA:71:6E:D0:03:D4","C2","2447","cap2","-69","189","2023-11-28 09:13:51"
"DA:71:6E:D0:03:D4","C2","2447","cap2","-70","189","2023-11-28 09:13:52"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-68","189","2023-11-28 09:13:52"
"FE:47:AD:D7:13:E2","C1","2437","cap3","-83","189","2023-11-28 09:13:53"
"DA:71:6E:D0:03:D4","C2","2437","cap3","-90","189","2023-11-28 09:13:53"
"DA:71:6E:D0:03:D4","C2","2447","cap1","-67","189","2023-11-28 09:13:53"
"FE:47:AD:D7:13:E2","C1","2447","cap1","-58","189","2023-11-28 09:13:53"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-68","189","2023-11-28 09:13:53"
"DA:71:6E:D0:03:D4","C2","2447","cap2","-70","189","2023-11-28 09:13:53"
"FE:47:AD:D7:13:E2","C1","2447","cap3","-84","189","2023-11-28 09:13:54"
"DA:71:6E:D0:03:D4","C2","2437","cap3","-90","189","2023-11-28 09:13:54"
"DA:71:6E:D0:03:D4","C2","2432","cap1","-64","189","2023-11-28 09:13:54"
"FE:47:AD:D7:13:E2","C1","2447","cap1","-58","189","2023-11-28 09:13:54"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-68","189","2023-11-28 09:13:54"
"DA:71:6E:D0:03:D4","C2","2447","cap2","-70","189","2023-11-28 09:13:54"
