"mac_address","ssid","channel","source","signal_strength","floorid","timestamp","roomid"
"56:15:D9:99:3A:26","C2","2417","cap1","-57","101","2023-12-20 11:31:40","213"
"FE:47:AD:D7:13:E2","C1","2417","cap1","-52","101","2023-12-20 11:31:40","213"
"56:15:D9:99:3A:26","C2","2427","cap2","-84","101","2023-12-20 11:31:40","213"
"FE:47:AD:D7:13:E2","C1","2417","cap2","-60","101","2023-12-20 11:31:40","213"
"56:15:D9:99:3A:26","C2","2427","cap1","-79","101","2023-12-20 11:31:40","213"
"FE:47:AD:D7:13:E2","C1","2422","cap1","-57","101","2023-12-20 11:31:40","213"
"56:15:D9:99:3A:26","C2","2422","cap2","-71","101","2023-12-20 11:31:40","213"
"FE:47:AD:D7:13:E2","C1","2422","cap2","-72","101","2023-12-20 11:31:40","213"
"56:15:D9:99:3A:26","C2","2427","cap1","-79","101","2023-12-20 11:31:40","213"
"FE:47:AD:D7:13:E2","C1","2422","cap1","-57","101","2023-12-20 11:31:40","213"
"56:15:D9:99:3A:26","C2","2412","cap3","-88","101","2023-12-20 11:31:40","213"
"56:15:D9:99:3A:26","C2","2422","cap2","-71","101","2023-12-20 11:31:40","213"
"FE:47:AD:D7:13:E2","C1","2422","cap2","-72","101","2023-12-20 11:31:40","213"
"56:15:D9:99:3A:26","C2","2417","cap1","-52","101","2023-12-20 11:31:40","213"
"FE:47:AD:D7:13:E2","C1","2427","cap1","-68","101","2023-12-20 11:31:40","213"
"56:15:D9:99:3A:26","C2","2412","cap3","-88","101","2023-12-20 11:31:40","213"
"56:15:D9:99:3A:26","C2","2422","cap2","-70","101","2023-12-20 11:31:40","213"
"FE:47:AD:D7:13:E2","C1","2422","cap2","-73","101","2023-12-20 11:31:40","213"
"56:15:D9:99:3A:26","C2","2412","cap1","-58","101","2023-12-20 11:31:40","213"
"FE:47:AD:D7:13:E2","C1","2412","cap1","-57","101","2023-12-20 11:31:40","213"
"56:15:D9:99:3A:26","C2","2412","cap3","-88","101","2023-12-20 11:31:40","213"
"56:15:D9:99:3A:26","C2","2427","cap1","-92","101","2023-12-20 11:31:40","213"
"FE:47:AD:D7:13:E2","C1","2422","cap1","-56","101","2023-12-20 11:31:40","213"
"FE:47:AD:D7:13:E2","C1","2422","cap2","-73","101","2023-12-20 11:31:40","213"
"56:15:D9:99:3A:26","C2","2422","cap2","-70","101","2023-12-20 11:31:40","213"
"56:15:D9:99:3A:26","C2","2412","cap3","-88","101","2023-12-20 11:31:40","213"
"56:15:D9:99:3A:26","C2","2422","cap2","-68","101","2023-12-20 11:31:40","213"
"FE:47:AD:D7:13:E2","C1","2422","cap2","-69","101","2023-12-20 11:31:40","213"
"56:15:D9:99:3A:26","C2","2427","cap1","-92","101","2023-12-20 11:31:40","213"
