mac_address,ssid,channel,source,signal_strength,floorid,latitude,longitude,timestamp
FE:47:AD:D7:13:E2,C1,2437,cap1,-54,101,7.065735101518495,125.59647794815658,10/11/2023 14:44
FE:47:AD:D7:13:E2,C1,2432,cap2,-68,101,7.065735101518495,125.59647794815658,10/11/2023 14:44
FE:47:AD:D7:13:E2,C1,2437,cap3,-89,101,7.065735101518495,125.59647794815658,10/11/2023 14:44
FE:47:AD:D7:13:E2,C1,2447,cap1,-61,101,7.065735101518495,125.59647794815658,10/11/2023 14:44
FE:47:AD:D7:13:E2,C1,2437,cap3,-90,101,7.065735101518495,125.59647794815658,10/11/2023 14:44
FE:47:AD:D7:13:E2,C1,2447,cap1,-64,101,7.065735101518495,125.59647794815658,10/11/2023 14:44
FE:47:AD:D7:13:E2,C1,2442,cap1,-48,101,7.065735101518495,125.59647794815658,10/11/2023 14:45
FE:47:AD:D7:13:E2,C1,2437,cap2,-76,101,7.065735101518495,125.59647794815658,10/11/2023 14:45
FE:47:AD:D7:13:E2,C1,2437,cap1,-56,101,7.065735101518495,125.59647794815658,10/11/2023 14:45
1E:03:B6:E0:9E:3C,C2,2442,cap1,-67,101,7.065735101518495,125.59647794815658,10/11/2023 14:45
FE:47:AD:D7:13:E2,C1,2437,cap2,-73,101,7.065735101518495,125.59647794815658,10/11/2023 14:45
1E:03:B6:E0:9E:3C,C2,2437,cap3,-89,101,7.065735101518495,125.59647794815658,10/11/2023 14:45
FE:47:AD:D7:13:E2,C1,2447,cap1,-58,101,7.065735101518495,125.59647794815658,10/11/2023 14:45
1E:03:B6:E0:9E:3C,C2,2437,cap2,-79,101,7.065735101518495,125.59647794815658,10/11/2023 14:45
FE:47:AD:D7:13:E2,C1,2427,cap2,-75,101,7.065735101518495,125.59647794815658,10/11/2023 14:45
1E:03:B6:E0:9E:3C,C2,2427,cap2,-79,101,7.065735101518495,125.59647794815658,10/11/2023 14:45
1E:03:B6:E0:9E:3C,C2,2437,cap1,-63,101,7.065735101518495,125.59647794815658,10/11/2023 14:46
1E:03:B6:E0:9E:3C,C2,2442,cap2,-81,101,7.065735101518495,125.59647794815658,10/11/2023 14:46
FE:47:AD:D7:13:E2,C1,2437,cap2,-79,101,7.065735101518495,125.59647794815658,10/11/2023 14:46
FE:47:AD:D7:13:E2,C1,2437,cap1,-61,101,7.065735101518495,125.59647794815658,10/11/2023 14:46
FE:47:AD:D7:13:E2,C1,2442,cap2,-73,101,7.065735101518495,125.59647794815658,10/11/2023 14:46
1E:03:B6:E0:9E:3C,C2,2442,cap2,-75,101,7.065735101518495,125.59647794815658,10/11/2023 14:46
FE:47:AD:D7:13:E2,C1,2442,cap1,-58,101,7.065735101518495,125.59647794815658,10/11/2023 14:46
FE:47:AD:D7:13:E2,C1,2437,cap1,-59,101,7.065735101518495,125.59647794815658,10/11/2023 14:47
FE:47:AD:D7:13:E2,C1,2442,cap1,-51,101,7.065735101518495,125.59647794815658,10/11/2023 14:47
1E:03:B6:E0:9E:3C,C2,2437,cap1,-64,101,7.065735101518495,125.59647794815658,10/11/2023 14:47
1E:03:B6:E0:9E:3C,C2,2437,cap2,-80,101,7.065735101518495,125.59647794815658,10/11/2023 14:47
1E:03:B6:E0:9E:3C,C2,2437,cap1,-64,101,7.065735101518495,125.59647794815658,10/11/2023 14:47
FE:47:AD:D7:13:E2,C1,2432,cap1,-59,101,7.065735101518495,125.59647794815658,10/11/2023 14:47
1E:03:B6:E0:9E:3C,C2,2427,cap2,-77,101,7.065735101518495,125.59647794815658,10/11/2023 14:47
1E:03:B6:E0:9E:3C,C2,2442,cap1,-66,101,7.065735101518495,125.59647794815658,10/11/2023 14:48
FE:47:AD:D7:13:E2,C1,2447,cap1,-51,101,7.065735101518495,125.59647794815658,10/11/2023 14:48
1E:03:B6:E0:9E:3C,C2,2437,cap2,-82,101,7.065735101518495,125.59647794815658,10/11/2023 14:48
FE:47:AD:D7:13:E2,C1,2442,cap2,-72,101,7.065735101518495,125.59647794815658,10/11/2023 14:48
FE:47:AD:D7:13:E2,C1,2437,cap3,-86,101,7.065735101518495,125.59647794815658,10/11/2023 14:48
FE:47:AD:D7:13:E2,C1,2442,cap1,-61,101,7.065735101518495,125.59647794815658,10/11/2023 14:48
1E:03:B6:E0:9E:3C,C2,2442,cap2,-81,101,7.065735101518495,125.59647794815658,10/11/2023 14:48
1E:03:B6:E0:9E:3C,C2,2442,cap2,-72,102,7.0657390942776725,125.59646654871351,10/11/2023 14:49
