ssid,floorid,roomid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,1,216,2457,2452,0,-80,-65,100
1,1,216,2457,2452,0,-80,-63,100
1,1,216,2457,2457,0,-80,-63,100
1,1,216,2457,2462,0,-80,-60,100
1,1,216,2457,2462,0,-80,-58,100
1,1,216,2462,2452,0,-82,-65,100
1,1,216,2462,2452,0,-82,-63,100
1,1,216,2462,2452,0,-78,-65,100
1,1,216,2462,2452,0,-78,-63,100
1,1,216,2462,2452,0,-75,-65,100
1,1,216,2462,2452,0,-75,-63,100
1,1,216,2462,2452,0,-74,-65,100
1,1,216,2462,2452,0,-74,-63,100
1,1,216,2462,2457,0,-82,-63,100
1,1,216,2462,2457,0,-78,-63,100
1,1,216,2462,2457,0,-75,-63,100
1,1,216,2462,2457,0,-74,-63,100
1,1,216,2462,2462,0,-82,-60,100
1,1,216,2462,2462,0,-82,-58,100
1,1,216,2462,2462,0,-78,-60,100
1,1,216,2462,2462,0,-78,-58,100
1,1,216,2462,2462,0,-75,-60,100
1,1,216,2462,2462,0,-75,-58,100
1,1,216,2462,2462,0,-74,-60,100
1,1,216,2462,2462,0,-74,-58,100
1,2,216,2457,2452,0,-80,-61,100
1,2,216,2457,2462,0,-80,-57,100
1,2,216,2457,2462,0,-80,-54,100
1,3,216,2452,2462,0,-82,-55,100
1,3,216,2452,2462,0,-82,-51,100
1,3,216,2457,2462,0,-80,-55,100
1,3,216,2457,2462,0,-80,-51,100
1,3,216,2457,2462,0,-79,-55,100
1,3,216,2457,2462,0,-79,-51,100
1,3,216,2462,2462,0,-84,-55,100
1,3,216,2462,2462,0,-84,-51,100
1,3,216,2462,2462,0,-83,-55,100
1,3,216,2462,2462,0,-83,-51,100
1,3,216,2462,2462,0,-77,-55,100
1,3,216,2462,2462,0,-77,-51,100
1,4,216,2462,2462,0,-86,-59,100
1,4,216,2462,2462,0,-86,-56,100
1,4,216,2462,2462,0,-83,-59,100
1,4,216,2462,2462,0,-83,-56,100
1,4,216,2462,2462,0,-82,-59,100
1,4,216,2462,2462,0,-82,-56,100
1,5,216,2457,2447,0,-76,-73,100
1,5,216,2457,2462,0,-76,-59,100
1,5,216,2457,2462,0,-76,-57,100
1,5,216,2462,2447,0,-91,-73,100
1,5,216,2462,2447,0,-83,-73,100
1,5,216,2462,2462,0,-91,-59,100
1,5,216,2462,2462,0,-91,-57,100
1,5,216,2462,2462,0,-83,-59,100
1,5,216,2462,2462,0,-83,-57,100
1,6,216,2457,2457,0,-72,-56,100
1,6,216,2457,2457,0,-72,-49,100
1,6,216,2457,2462,0,-72,-53,100
1,6,216,2457,2462,0,-72,-52,100
1,6,216,2457,2462,0,-72,-51,100
1,6,216,2462,2457,0,-78,-56,100
1,6,216,2462,2457,0,-78,-49,100
1,6,216,2462,2462,0,-78,-53,100
1,6,216,2462,2462,0,-78,-52,100
1,6,216,2462,2462,0,-78,-51,100
1,7,216,2462,2462,0,-90,-54,100
