ssid,floorid,roomid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,219,111,2412,0,2412,-94,-75,100
1,219,111,2412,0,2412,-94,-67,100
1,219,111,2412,0,2412,-90,-75,100
1,219,111,2412,0,2412,-90,-67,100
1,219,111,2412,0,2417,-94,-68,100
1,219,111,2412,0,2417,-94,-66,100
1,219,111,2412,0,2417,-90,-68,100
1,219,111,2412,0,2417,-90,-66,100
1,219,111,2412,0,2422,-94,-74,100
1,219,111,2412,0,2422,-94,-72,100
1,219,111,2412,0,2422,-90,-74,100
1,219,111,2412,0,2422,-90,-72,100
1,231,111,2412,0,2412,-93,-71,100
1,231,111,2412,0,2412,-91,-71,100
1,231,111,2412,0,2412,-89,-71,100
1,231,111,2412,0,2412,-87,-71,100
1,231,111,2412,0,2417,-93,-68,100
1,231,111,2412,0,2417,-91,-68,100
1,231,111,2412,0,2417,-89,-68,100
1,231,111,2412,0,2417,-87,-68,100
1,231,111,2412,0,2422,-93,-71,100
1,231,111,2412,0,2422,-91,-71,100
1,231,111,2412,0,2422,-89,-71,100
1,231,111,2412,0,2422,-87,-71,100
1,231,111,2412,0,2427,-93,-85,100
1,231,111,2412,0,2427,-93,-80,100
1,231,111,2412,0,2427,-91,-85,100
1,231,111,2412,0,2427,-91,-80,100
1,231,111,2412,0,2427,-89,-85,100
1,231,111,2412,0,2427,-89,-80,100
1,231,111,2412,0,2427,-87,-85,100
1,231,111,2412,0,2427,-87,-80,100
1,233,111,2412,0,2417,-93,-68,100
1,233,111,2412,0,2417,-93,-64,100
1,233,111,2412,0,2417,-93,-63,100
1,233,111,2412,0,2417,-90,-68,100
1,233,111,2412,0,2417,-90,-64,100
1,233,111,2412,0,2417,-90,-63,100
1,233,111,2412,0,2427,-93,-82,100
1,233,111,2412,0,2427,-90,-82,100
1,190,111,2412,2412,2412,-92,-95,-71
1,190,111,2412,2412,2412,-92,-94,-71
1,190,111,2412,2412,2412,-92,-92,-71
1,190,111,2412,2412,2412,-92,-89,-71
1,190,111,2412,2412,2412,-92,-87,-71
1,190,111,2412,2412,2412,-88,-95,-71
1,190,111,2412,2412,2412,-88,-94,-71
1,190,111,2412,2412,2412,-88,-92,-71
1,190,111,2412,2412,2412,-88,-89,-71
1,190,111,2412,2412,2412,-88,-87,-71
1,190,111,2412,2412,2412,-86,-95,-71
1,190,111,2412,2412,2412,-86,-94,-71
1,190,111,2412,2412,2412,-86,-92,-71
1,190,111,2412,2412,2412,-86,-89,-71
1,190,111,2412,2412,2412,-86,-87,-71
1,190,111,2412,2412,2412,-84,-95,-71
1,190,111,2412,2412,2412,-84,-94,-71
1,190,111,2412,2412,2412,-84,-92,-71
1,190,111,2412,2412,2412,-84,-89,-71
1,190,111,2412,2412,2412,-84,-87,-71
1,190,111,2412,2412,2417,-92,-95,-75
1,190,111,2412,2412,2417,-92,-95,-68
1,190,111,2412,2412,2417,-92,-95,-66
1,190,111,2412,2412,2417,-92,-95,-65
1,190,111,2412,2412,2417,-92,-95,-64
1,190,111,2412,2412,2417,-92,-95,-63
