ssid,signal_strength_cap1_channel_cap1_2427,signal_strength_cap1_channel_cap1_2432,signal_strength_cap1_channel_cap1_2437,signal_strength_cap1_channel_cap1_2442,signal_strength_cap1_channel_cap1_2447,signal_strength_cap1_channel_cap1_2452,signal_strength_cap1_channel_cap1_2457,signal_strength_cap1_channel_cap1_2462,signal_strength_cap2_channel_cap2_2427,signal_strength_cap2_channel_cap2_2432,signal_strength_cap2_channel_cap2_2437,signal_strength_cap2_channel_cap2_2442,signal_strength_cap2_channel_cap2_2447,signal_strength_cap2_channel_cap2_2452,signal_strength_cap2_channel_cap2_2457,signal_strength_cap2_channel_cap2_2462,signal_strength_cap3_channel_cap3_2427,signal_strength_cap3_channel_cap3_2432,signal_strength_cap3_channel_cap3_2437,signal_strength_cap3_channel_cap3_2442,signal_strength_cap3_channel_cap3_2447,signal_strength_cap3_channel_cap3_2452,signal_strength_cap3_channel_cap3_2457,signal_strength_cap3_channel_cap3_2462
1,-64,0,0,0,0,0,0,0,0,0,-60,0,0,0,0,0,0,0,-85,0,0,0,0,0
1,-64,0,0,0,0,0,0,0,0,0,0,0,-65,0,0,0,0,0,-85,0,0,0,0,0
1,0,0,0,-56,0,0,0,0,0,0,-60,0,0,0,0,0,0,0,-85,0,0,0,0,0
1,0,0,0,-55,0,0,0,0,0,0,-60,0,0,0,0,0,0,0,-85,0,0,0,0,0
1,0,0,0,-56,0,0,0,0,0,0,0,0,-65,0,0,0,0,0,-85,0,0,0,0,0
1,0,0,0,-55,0,0,0,0,0,0,0,0,-65,0,0,0,0,0,-85,0,0,0,0,0
1,0,0,-52,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,-85,0,0,0,0,0,0
1,0,0,-52,0,0,0,0,0,-63,0,0,0,0,0,0,0,0,-85,0,0,0,0,0,0
1,0,0,-52,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0
1,0,0,-52,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,-81,0,0,0,0,0
1,0,0,-52,0,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0
1,0,0,-52,0,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,-81,0,0,0,0,0
1,0,0,-52,0,0,0,0,0,0,0,-65,0,0,0,0,0,0,-85,0,0,0,0,0,0
1,0,0,-52,0,0,0,0,0,0,0,-64,0,0,0,0,0,0,-85,0,0,0,0,0,0
1,0,0,-52,0,0,0,0,0,0,0,-65,0,0,0,0,0,0,0,-87,0,0,0,0,0
1,0,0,-52,0,0,0,0,0,0,0,-65,0,0,0,0,0,0,0,-81,0,0,0,0,0
1,0,0,-52,0,0,0,0,0,0,0,-64,0,0,0,0,0,0,0,-87,0,0,0,0,0
1,0,0,-52,0,0,0,0,0,0,0,-64,0,0,0,0,0,0,0,-81,0,0,0,0,0
1,0,0,0,-53,0,0,0,0,-68,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0
1,0,0,0,-53,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,-81,0,0,0,0,0
1,0,0,0,-53,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,0
1,0,0,0,-53,0,0,0,0,0,-68,0,0,0,0,0,0,0,-79,0,0,0,0,0,0
1,0,0,0,-53,0,0,0,0,0,-64,0,0,0,0,0,0,0,-79,0,0,0,0,0,0
1,0,0,0,-53,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,-81,0,0,0,0,0
1,0,0,0,-53,0,0,0,0,0,-64,0,0,0,0,0,0,0,0,-81,0,0,0,0,0
1,0,0,0,-53,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,-77,0,0,0,0
1,0,0,0,-53,0,0,0,0,0,-64,0,0,0,0,0,0,0,0,0,-77,0,0,0,0
