mac_address,ssid,timestamp,floorid,latitude,longitude,cap1_channel,cap2_channel,cap3_channel,cap1_signal_strength,cap2_signal_strength,cap3_signal_strength
1E:03:B6:E0:9E:3C,2,10/11/2023 14:45,101,7.065735101518495,125.59647794815659,2442.0,2437.0,2437.0,-67.0,-79.0,-89.0
1E:03:B6:E0:9E:3C,2,10/11/2023 14:46,101,7.065735101518495,125.59647794815659,2437.0,2442.0,0.0,-63.0,-81.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 14:47,101,7.065735101518495,125.59647794815659,2437.0,2437.0,0.0,-64.0,-80.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 14:48,101,7.065735101518495,125.59647794815659,2442.0,2437.0,0.0,-66.0,-82.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 14:49,102,7.0657390942776725,125.59646654871351,2442.0,2442.0,0.0,-60.0,-72.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 14:50,102,7.0657390942776725,125.59646654871351,2442.0,2427.0,0.0,-65.0,-82.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 14:51,102,7.0657390942776725,125.59646654871351,2437.0,2442.0,0.0,-70.0,-74.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 14:52,102,7.0657390942776725,125.59646654871351,2442.0,2437.0,0.0,-65.0,-73.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 14:53,103,7.065742754405358,125.59645581982264,2442.0,2437.0,0.0,-61.0,-74.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 14:54,103,7.065742754405358,125.59645581982264,2447.0,2442.0,0.0,-70.0,-78.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 14:55,103,7.065742754405358,125.59645581982264,2442.0,2432.0,0.0,-65.0,-79.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 14:56,103,7.065742754405358,125.59645581982264,0.0,2447.0,0.0,100.0,-74.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 14:57,104,7.065745915930528,125.59644492327546,2432.0,2432.0,0.0,-67.0,-83.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 14:58,104,7.065745915930528,125.59644492327546,2442.0,2437.0,0.0,-67.0,-79.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 14:59,104,7.065745915930528,125.59644492327546,2437.0,2437.0,0.0,-68.0,-79.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 15:00,104,7.065745915930528,125.59644492327546,2442.0,2427.0,0.0,-69.0,-78.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 15:01,104,7.065745915930528,125.59644492327546,2432.0,2432.0,0.0,-62.0,-80.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 15:02,104,7.065745915930528,125.59644492327546,2437.0,2437.0,0.0,-61.0,-82.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 15:03,104,7.065745915930528,125.59644492327546,2447.0,2437.0,0.0,-60.0,-82.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 15:04,104,7.065745915930528,125.59644492327546,2437.0,0.0,0.0,-66.0,100.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 15:05,105,7.065749742324648,125.5964330210186,2442.0,2437.0,0.0,-70.0,-86.0,100.0
1E:03:B6:E0:9E:3C,2,10/11/2023 15:06,105,7.065749742324648,125.5964330210186,2442.0,0.0,0.0,-70.0,100.0,100.0
