ssid,channel,source,signal_strength,floorid,roomid
0,0,cap3,100,1,0
0,0,cap3,100,2,0
0,0,cap3,100,3,0
0,0,cap3,100,4,0
0,0,cap3,100,5,0
0,0,cap3,100,6,0
0,0,cap3,100,7,0
0,0,cap3,100,8,0
0,0,cap3,100,9,0
0,0,cap3,100,10,0
0,0,cap3,100,11,0
0,0,cap3,100,12,0
0,0,cap3,100,13,0
0,0,cap3,100,14,0
0,0,cap3,100,15,0
0,0,cap3,100,16,0
0,0,cap3,100,17,0
0,0,cap3,100,18,0
0,0,cap3,100,19,0
0,0,cap3,100,20,0
0,0,cap3,100,21,0
0,0,cap3,100,22,0
0,0,cap3,100,23,0
0,0,cap3,100,24,0
0,0,cap3,100,25,0
0,0,cap3,100,26,0
0,0,cap3,100,27,0
0,0,cap3,100,28,0
0,0,cap1,100,29,0
0,0,cap3,100,29,0
0,0,cap3,100,30,0
0,0,cap3,100,31,0
0,0,cap3,100,32,0
0,0,cap3,100,33,0
0,0,cap3,100,34,0
0,0,cap3,100,35,0
0,0,cap3,100,36,0
0,0,cap3,100,37,0
0,0,cap3,100,38,0
0,0,cap3,100,39,0
0,0,cap3,100,40,0
0,0,cap3,100,41,0
0,0,cap3,100,42,0
0,0,cap3,100,43,0
0,0,cap3,100,44,0
0,0,cap3,100,45,0
0,0,cap3,100,46,0
0,0,cap3,100,47,0
0,0,cap3,100,48,0
0,0,cap3,100,49,0
0,0,cap3,100,51,0
0,0,cap3,100,52,0
0,0,cap3,100,53,0
0,0,cap3,100,54,0
0,0,cap3,100,55,0
0,0,cap3,100,57,0
0,0,cap3,100,58,0
0,0,cap3,100,59,0
0,0,cap3,100,60,0
0,0,cap3,100,62,0
0,0,cap3,100,63,0
0,0,cap3,100,64,0
0,0,cap3,100,65,0
0,0,cap3,100,66,0
0,0,cap3,100,67,0
0,0,cap3,100,68,0
0,0,cap3,100,69,0
0,0,cap3,100,71,0
0,0,cap3,100,72,0
0,0,cap3,100,73,0
0,0,cap3,100,74,0
0,0,cap3,100,75,0
0,0,cap3,100,76,0
0,0,cap3,100,77,0
0,0,cap3,100,117,0
0,0,cap2,100,192,0
0,0,cap1,100,193,0
0,0,cap2,100,193,0
0,0,cap2,100,194,0
0,0,cap2,100,195,0
0,0,cap1,100,196,0
0,0,cap2,100,196,0
0,0,cap2,100,197,0
0,0,cap1,100,198,0
0,0,cap2,100,198,0
0,0,cap2,100,199,0
0,0,cap2,100,200,0
0,0,cap2,100,201,0
0,0,cap2,100,203,0
0,0,cap2,100,204,0
0,0,cap2,100,205,0
0,0,cap2,100,206,0
0,0,cap2,100,207,0
0,0,cap1,100,208,0
0,0,cap2,100,208,0
0,0,cap2,100,209,0
0,0,cap2,100,210,0
0,0,cap2,100,211,0
0,0,cap1,100,214,0
0,0,cap2,100,214,0
0,0,cap1,100,215,0
0,0,cap2,100,215,0
0,0,cap1,100,216,0
0,0,cap2,100,216,0
0,0,cap2,100,217,0
0,0,cap2,100,218,0
0,0,cap2,100,219,0
0,0,cap2,100,220,0
0,0,cap2,100,222,0
0,0,cap2,100,223,0
0,0,cap2,100,224,0
0,0,cap2,100,226,0
0,0,cap2,100,227,0
0,0,cap2,100,228,0
0,0,cap2,100,229,0
0,0,cap2,100,230,0
0,0,cap2,100,231,0
0,0,cap1,100,232,0
0,0,cap2,100,232,0
0,0,cap2,100,233,0
0,0,cap2,100,234,0
0,0,cap2,100,235,0
0,0,cap2,100,236,0
0,0,cap2,100,237,0
0,0,cap2,100,238,0
0,0,cap2,100,239,0
0,0,cap2,100,240,0
0,0,cap2,100,241,0
0,0,cap2,100,242,0
0,0,cap2,100,243,0
0,0,cap2,100,244,0
0,0,cap2,100,245,0
0,0,cap2,100,246,0
0,0,cap2,100,247,0
0,0,cap2,100,248,0
0,0,cap2,100,249,0
0,0,cap1,100,250,0
0,0,cap2,100,250,0
0,0,cap1,100,251,0
0,0,cap2,100,251,0
0,0,cap2,100,252,0
0,0,cap2,100,253,0
0,0,cap2,100,254,0
0,0,cap2,100,256,0
