ssid,floorid,roomid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,101,213,2412,2422,2412,[-59],[-64],[-86]
1,102,213,2412,2417,2412,[-61],"[-68, -66]","[-88, -87]"
1,102,213,2412,2417,2417,[-61],"[-68, -66]",[-78]
1,102,213,2412,2422,2412,[-61],[-63],"[-88, -87]"
1,102,213,2412,2422,2417,[-61],[-63],[-78]
1,103,213,2412,2412,2412,[-52],[-70],"[-91, -88, -87, -86]"
1,103,213,2412,2422,2412,[-52],"[-66, -64]","[-91, -88, -87, -86]"
1,103,213,2417,2412,2412,"[-55, -51]",[-70],"[-91, -88, -87, -86]"
1,103,213,2417,2422,2412,"[-55, -51]","[-66, -64]","[-91, -88, -87, -86]"
1,103,213,2427,2412,2412,[-67],[-70],"[-91, -88, -87, -86]"
1,103,213,2427,2422,2412,[-67],"[-66, -64]","[-91, -88, -87, -86]"
1,104,213,0,2412,2412,[100],[-70],"[-90, -89, -88]"
1,104,213,0,2422,2412,[100],"[-66, -64]","[-90, -89, -88]"
1,105,213,2422,2412,2412,[-60],[-69],"[-90, -89, -88]"
1,105,213,2422,2412,2417,[-60],[-69],[-85]
1,105,213,2422,2417,2412,[-60],[-62],"[-90, -89, -88]"
1,105,213,2422,2417,2417,[-60],[-62],[-85]
1,105,213,2427,2412,2412,"[-74, -68, -67]",[-69],"[-90, -89, -88]"
1,105,213,2427,2412,2417,"[-74, -68, -67]",[-69],[-85]
1,105,213,2427,2417,2412,"[-74, -68, -67]",[-62],"[-90, -89, -88]"
1,105,213,2427,2417,2417,"[-74, -68, -67]",[-62],[-85]
1,106,213,2417,2422,2412,[-55],[-61],"[-93, -83]"
1,106,213,2417,2422,2417,[-55],[-61],[-86]
1,106,213,2417,2422,2422,[-55],[-61],[-84]
1,106,213,2427,2422,2412,[-75],[-61],"[-93, -83]"
1,106,213,2427,2422,2417,[-75],[-61],[-86]
1,106,213,2427,2422,2422,[-75],[-61],[-84]
1,107,213,2412,2412,2412,[-66],"[-67, -65]","[-89, -87, -86]"
1,107,213,2412,2417,2412,[-66],"[-61, -60, -57]","[-89, -87, -86]"
1,107,213,2412,2422,2412,[-66],[-62],"[-89, -87, -86]"
1,107,213,2417,2412,2412,[-51],"[-67, -65]","[-89, -87, -86]"
1,107,213,2417,2417,2412,[-51],"[-61, -60, -57]","[-89, -87, -86]"
1,107,213,2417,2422,2412,[-51],[-62],"[-89, -87, -86]"
1,107,213,2422,2412,2412,[-59],"[-67, -65]","[-89, -87, -86]"
1,107,213,2422,2417,2412,[-59],"[-61, -60, -57]","[-89, -87, -86]"
1,107,213,2422,2422,2412,[-59],[-62],"[-89, -87, -86]"
1,108,213,2412,2422,2412,[-58],[-60],"[-91, -87]"
1,108,213,2422,2422,2412,[-60],[-60],"[-91, -87]"
1,109,213,2412,2417,2412,[-52],[-53],"[-91, -89, -87, -86]"
1,109,213,2412,2417,2417,[-52],[-53],[-79]
1,109,213,2412,2422,2412,[-52],"[-64, -63]","[-91, -89, -87, -86]"
1,109,213,2412,2422,2417,[-52],"[-64, -63]",[-79]
1,109,213,2422,2417,2412,[-56],[-53],"[-91, -89, -87, -86]"
1,109,213,2422,2417,2417,[-56],[-53],[-79]
1,109,213,2422,2422,2412,[-56],"[-64, -63]","[-91, -89, -87, -86]"
1,109,213,2422,2422,2417,[-56],"[-64, -63]",[-79]
1,110,213,2417,2417,2412,[-67],[-50],[-85]
1,110,213,2417,2422,2412,[-67],[-51],[-85]
1,110,213,2422,2417,2412,[-68],[-50],[-85]
1,110,213,2422,2422,2412,[-68],[-51],[-85]
1,121,213,2412,2417,2412,"[-64, -63, -61]","[-70, -61]","[-86, -85]"
1,121,213,2417,2417,2412,[-65],"[-70, -61]","[-86, -85]"
1,121,213,2427,2417,2412,[-76],"[-70, -61]","[-86, -85]"
1,122,213,2412,2412,2417,"[-67, -62]",[-67],[-92]
1,122,213,2412,2417,2417,"[-67, -62]","[-66, -65]",[-92]
1,122,213,2422,2412,2417,"[-82, -71]",[-67],[-92]
1,122,213,2422,2417,2417,"[-82, -71]","[-66, -65]",[-92]
1,122,213,2427,2412,2417,[-78],[-67],[-92]
1,122,213,2427,2417,2417,[-78],"[-66, -65]",[-92]
1,123,213,2417,2412,2412,[-57],[-75],"[-88, -87, -86]"
1,123,213,2417,2422,2412,[-57],"[-68, -64, -58]","[-88, -87, -86]"
1,123,213,2422,2412,2412,[-62],[-75],"[-88, -87, -86]"
1,123,213,2422,2422,2412,[-62],"[-68, -64, -58]","[-88, -87, -86]"
1,124,213,2412,2412,2412,[-56],[-64],"[-88, -87, -85]"
1,124,213,2412,2417,2412,[-56],[-53],"[-88, -87, -85]"
1,124,213,2412,2422,2412,[-56],"[-65, -63]","[-88, -87, -85]"
1,125,213,2417,2412,2412,[-58],[-66],"[-90, -87, -85]"
1,125,213,2417,2422,2412,[-58],[-63],"[-90, -87, -85]"
1,126,213,2412,2412,2412,[-56],"[-70, -67]","[-89, -87, -85]"
1,126,213,2412,2412,2417,[-56],"[-70, -67]",[-86]
1,126,213,2412,2417,2412,[-56],"[-65, -63]","[-89, -87, -85]"
1,126,213,2412,2417,2417,[-56],"[-65, -63]",[-86]
1,126,213,2417,2412,2412,[-52],"[-70, -67]","[-89, -87, -85]"
1,126,213,2417,2412,2417,[-52],"[-70, -67]",[-86]
1,126,213,2417,2417,2412,[-52],"[-65, -63]","[-89, -87, -85]"
1,126,213,2417,2417,2417,[-52],"[-65, -63]",[-86]
1,126,213,2427,2412,2412,"[-76, -73]","[-70, -67]","[-89, -87, -85]"
1,126,213,2427,2412,2417,"[-76, -73]","[-70, -67]",[-86]
1,126,213,2427,2417,2412,"[-76, -73]","[-65, -63]","[-89, -87, -85]"
1,126,213,2427,2417,2417,"[-76, -73]","[-65, -63]",[-86]
1,127,213,2412,2412,2412,[-68],[-66],"[-94, -93]"
1,127,213,2412,2417,2412,[-68],"[-58, -55]","[-94, -93]"
