ssid,floorid,roomid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,1,214,2457,2452,0,"[-80, -74]","[-65, -64, -63]",[100]
1,1,214,2457,2457,0,"[-80, -74]","[-63, -58]",[100]
1,1,214,2457,2462,0,"[-80, -74]","[-64, -60, -58]",[100]
1,1,214,2462,2452,0,"[-82, -78, -77, -76, -75, -74]","[-65, -64, -63]",[100]
1,1,214,2462,2457,0,"[-82, -78, -77, -76, -75, -74]","[-63, -58]",[100]
1,1,214,2462,2462,0,"[-82, -78, -77, -76, -75, -74]","[-64, -60, -58]",[100]
1,4,214,2462,2452,0,"[-86, -84, -83, -82]",[-60],[100]
1,4,214,2462,2457,0,"[-86, -84, -83, -82]",[-61],[100]
1,4,214,2462,2462,0,"[-86, -84, -83, -82]","[-63, -59, -56, -52]",[100]
1,7,214,2457,2462,0,[-88],"[-54, -52, -51, -49, -45, -44]",[100]
1,7,214,2462,2462,0,"[-90, -87, -83, -80]","[-54, -52, -51, -49, -45, -44]",[100]
1,10,214,2462,2452,0,[-82],[-63],[100]
1,10,214,2462,2457,0,[-82],[-63],[100]
1,10,214,2462,2462,0,[-82],"[-62, -61]",[100]
1,13,214,2462,2457,0,"[-86, -84, -83, -78, -75]",[-59],[100]
1,13,214,2462,2462,0,"[-86, -84, -83, -78, -75]","[-65, -63, -61, -54]",[100]
1,16,214,2457,2457,0,"[-79, -75]","[-52, -50]",[100]
1,16,214,2457,2462,0,"[-79, -75]","[-57, -54, -48, -47]",[100]
1,16,214,2462,2457,0,"[-82, -81, -78, -76]","[-52, -50]",[100]
1,16,214,2462,2462,0,"[-82, -81, -78, -76]","[-57, -54, -48, -47]",[100]
1,19,214,2462,2457,0,[-90],[-74],[100]
1,19,214,2462,2462,0,[-90],"[-75, -72, -69, -68, -64, -61]",[100]
1,22,214,2462,2457,0,"[-77, -73]",[-58],[100]
1,22,214,2462,2462,0,"[-77, -73]","[-59, -50, -46, -45]",[100]
1,25,214,2462,2462,0,"[-88, -86, -85, -83, -78, -77]","[-54, -51, -47, -46, -43]",[100]
1,28,214,2462,2457,0,[-77],[-62],[100]
1,28,214,2462,2462,0,[-77],"[-64, -63]",[100]
1,31,214,2462,2457,0,"[-85, -77]",[-48],[100]
1,31,214,2462,2462,0,"[-85, -77]","[-53, -49]",[100]
1,34,214,2457,2462,0,[-73],"[-55, -50, -44]",[100]
1,34,214,2462,2462,0,"[-77, -75]","[-55, -50, -44]",[100]
1,37,214,2462,2457,0,[-78],"[-74, -64]",[100]
1,37,214,2462,2462,0,[-78],"[-69, -64, -63, -60, -56]",[100]
1,40,214,2462,2462,0,"[-82, -81, -75]","[-54, -52, -51, -49, -46]",[100]
1,43,214,2457,2462,0,[-85],"[-59, -57, -54, -52, -51]",[100]
1,43,214,2462,2462,0,"[-87, -84, -81]","[-59, -57, -54, -52, -51]",[100]
1,46,214,2462,2457,0,"[-81, -76]","[-69, -64, -62, -59]",[100]
1,46,214,2462,2462,0,"[-81, -76]","[-67, -66, -65, -53]",[100]
1,49,214,2462,2462,0,"[-79, -76, -75, -73]","[-67, -62, -52]",[100]
1,52,214,2462,2457,0,"[-91, -89]","[-69, -59]",[100]
1,52,214,2462,2462,0,"[-91, -89]","[-69, -59, -56, -51]",[100]
1,55,214,2452,2462,0,[-76],"[-58, -55]",[100]
1,55,214,2462,2462,0,[-81],"[-58, -55]",[100]
1,58,214,2457,2457,0,"[-74, -73]",[-57],[100]
1,58,214,2457,2462,0,"[-74, -73]","[-62, -60, -57, -55]",[100]
1,58,214,2462,2457,0,"[-77, -75, -72, -70]",[-57],[100]
1,58,214,2462,2462,0,"[-77, -75, -72, -70]","[-62, -60, -57, -55]",[100]
1,61,214,2462,2447,2462,"[-90, -88, -80, -79, -78, -69]",[-59],"[-96, -95, -91]"
1,61,214,2462,2457,2462,"[-90, -88, -80, -79, -78, -69]",[-47],"[-96, -95, -91]"
1,61,214,2462,2462,2462,"[-90, -88, -80, -79, -78, -69]","[-54, -53, -52, -49, -47, -44, -43]","[-96, -95, -91]"
1,64,214,2462,2457,0,"[-85, -84, -78]","[-70, -69, -61, -59]",[100]
1,64,214,2462,2462,0,"[-85, -84, -78]",[-65],[100]
1,67,214,2452,2452,0,"[-80, -78]",[-62],[100]
1,67,214,2452,2457,0,"[-80, -78]",[-57],[100]
1,67,214,2452,2462,0,"[-80, -78]","[-57, -56, -52, -51]",[100]
1,67,214,2457,2452,0,[-73],[-62],[100]
1,67,214,2457,2457,0,[-73],[-57],[100]
1,67,214,2457,2462,0,[-73],"[-57, -56, -52, -51]",[100]
1,67,214,2462,2452,0,"[-84, -81, -80, -79, -77, -72]",[-62],[100]
1,67,214,2462,2457,0,"[-84, -81, -80, -79, -77, -72]",[-57],[100]
1,67,214,2462,2462,0,"[-84, -81, -80, -79, -77, -72]","[-57, -56, -52, -51]",[100]
1,70,214,2462,2452,2462,"[-83, -77, -76, -74]",[-56],"[-99, -89]"
1,70,214,2462,2457,2462,"[-83, -77, -76, -74]","[-53, -48]","[-99, -89]"
1,70,214,2462,2462,2462,"[-83, -77, -76, -74]","[-50, -49, -46, -41]","[-99, -89]"
1,73,214,2462,2452,0,"[-86, -83]",[-67],[100]
1,73,214,2462,2457,0,"[-86, -83]",[-74],[100]
1,73,214,2462,2462,0,"[-86, -83]","[-74, -73]",[100]
1,76,214,2457,2452,0,"[-73, -71]",[-66],[100]
1,76,214,2457,2462,0,"[-73, -71]","[-75, -62, -60, -55, -53]",[100]
1,76,214,2462,2452,0,"[-82, -74, -71, -69, -68]",[-66],[100]
1,76,214,2462,2462,0,"[-82, -74, -71, -69, -68]","[-75, -62, -60, -55, -53]",[100]
1,79,214,2462,2462,2462,"[-79, -76, -75, -74, -71]","[-40, -36, -35, -34]","[-101, -99, -96, -90]"
1,103,213,2437,2432,0,[-64],[-68],[100]
1,103,213,2437,2437,0,[-64],[-78],[100]
1,103,213,2437,2442,0,[-64],"[-70, -67]",[100]
1,103,213,2442,2432,0,"[-72, -62]",[-68],[100]
1,103,213,2442,2437,0,"[-72, -62]",[-78],[100]
1,103,213,2442,2442,0,"[-72, -62]","[-70, -67]",[100]
1,103,213,2447,2432,0,[-66],[-68],[100]
1,103,213,2447,2437,0,[-66],[-78],[100]
1,103,213,2447,2442,0,[-66],"[-70, -67]",[100]
1,106,213,2437,2432,2437,[-68],[-70],"[-94, -92, -91, -89]"
1,106,213,2437,2437,2437,[-68],"[-73, -69]","[-94, -92, -91, -89]"
1,106,213,2437,2442,2437,[-68],"[-75, -72]","[-94, -92, -91, -89]"
1,106,213,2437,2447,2437,[-68],[-74],"[-94, -92, -91, -89]"
1,106,213,2447,2432,2437,[-63],[-70],"[-94, -92, -91, -89]"
1,106,213,2447,2437,2437,[-63],"[-73, -69]","[-94, -92, -91, -89]"
1,106,213,2447,2442,2437,[-63],"[-75, -72]","[-94, -92, -91, -89]"
1,106,213,2447,2447,2437,[-63],[-74],"[-94, -92, -91, -89]"
1,109,213,2437,2437,2437,"[-62, -52]","[-56, -53]","[-92, -91, -90]"
1,109,213,2437,2437,2442,"[-62, -52]","[-56, -53]",[-88]
1,109,213,2437,2442,2437,"[-62, -52]",[-50],"[-92, -91, -90]"
1,109,213,2437,2442,2442,"[-62, -52]",[-50],[-88]
1,109,213,2437,2452,2437,"[-62, -52]",[-69],"[-92, -91, -90]"
1,109,213,2437,2452,2442,"[-62, -52]",[-69],[-88]
1,109,213,2442,2437,2437,"[-57, -56, -52]","[-56, -53]","[-92, -91, -90]"
1,109,213,2442,2437,2442,"[-57, -56, -52]","[-56, -53]",[-88]
1,109,213,2442,2442,2437,"[-57, -56, -52]",[-50],"[-92, -91, -90]"
1,109,213,2442,2442,2442,"[-57, -56, -52]",[-50],[-88]
1,109,213,2442,2452,2437,"[-57, -56, -52]",[-69],"[-92, -91, -90]"
1,109,213,2442,2452,2442,"[-57, -56, -52]",[-69],[-88]
1,112,213,2432,2437,2437,[-57],[-66],"[-93, -91]"
1,112,213,2432,2442,2437,[-57],[-68],"[-93, -91]"
1,112,213,2432,2447,2437,[-57],"[-70, -68]","[-93, -91]"
1,112,213,2437,2437,2437,[-64],[-66],"[-93, -91]"
1,112,213,2437,2442,2437,[-64],[-68],"[-93, -91]"
1,112,213,2437,2447,2437,[-64],"[-70, -68]","[-93, -91]"
1,112,213,2452,2437,2437,[-73],[-66],"[-93, -91]"
1,112,213,2452,2442,2437,[-73],[-68],"[-93, -91]"
1,112,213,2452,2447,2437,[-73],"[-70, -68]","[-93, -91]"
1,115,213,2442,2437,2437,[-53],[-63],"[-92, -91, -90]"
1,115,213,2442,2442,2437,[-53],[-65],"[-92, -91, -90]"
1,115,213,2442,2447,2437,[-53],[-68],"[-92, -91, -90]"
1,115,213,2447,2437,2437,[-59],[-63],"[-92, -91, -90]"
1,115,213,2447,2442,2437,[-59],[-65],"[-92, -91, -90]"
1,115,213,2447,2447,2437,[-59],[-68],"[-92, -91, -90]"
1,115,213,2452,2437,2437,"[-75, -73, -71]",[-63],"[-92, -91, -90]"
1,115,213,2452,2442,2437,"[-75, -73, -71]",[-65],"[-92, -91, -90]"
1,115,213,2452,2447,2437,"[-75, -73, -71]",[-68],"[-92, -91, -90]"
1,118,213,2442,2422,2432,[-58],[-74],[-90]
1,118,213,2442,2422,2437,[-58],[-74],"[-90, -89]"
1,118,213,2442,2437,2432,[-58],[-56],[-90]
1,118,213,2442,2437,2437,[-58],[-56],"[-90, -89]"
1,118,213,2442,2442,2432,[-58],"[-54, -53, -52]",[-90]
1,118,213,2442,2442,2437,[-58],"[-54, -53, -52]","[-90, -89]"
1,118,213,2447,2422,2432,[-62],[-74],[-90]
1,118,213,2447,2422,2437,[-62],[-74],"[-90, -89]"
1,118,213,2447,2437,2432,[-62],[-56],[-90]
