ssid,channel,source,signal_strength,floorid,roomid
1,2412,cap1,-68,127,213
1,2412,cap1,-67,122,213
1,2412,cap1,-66,107,213
1,2412,cap1,-64,121,213
1,2412,cap1,-63,121,213
1,2412,cap1,-63,130,213
1,2412,cap1,-63,142,213
1,2412,cap1,-63,143,213
1,2412,cap1,-62,122,213
1,2412,cap1,-62,143,213
1,2412,cap1,-62,147,213
1,2412,cap1,-61,102,213
1,2412,cap1,-61,121,213
1,2412,cap1,-60,129,213
1,2412,cap1,-59,101,213
1,2412,cap1,-59,129,213
1,2412,cap1,-59,161,213
1,2412,cap1,-58,108,213
1,2412,cap1,-56,124,213
1,2412,cap1,-56,126,213
1,2412,cap1,-52,103,213
1,2412,cap1,-52,109,213
1,2412,cap1,-30,150,213
1,2412,cap1,-28,150,213
1,2412,cap2,-90,150,213
1,2412,cap2,-80,150,213
1,2412,cap2,-79,144,213
1,2412,cap2,-78,161,213
1,2412,cap2,-77,161,213
1,2412,cap2,-76,146,213
1,2412,cap2,-76,161,213
1,2412,cap2,-75,123,213
1,2412,cap2,-74,130,213
1,2412,cap2,-73,130,213
1,2412,cap2,-72,150,213
1,2412,cap2,-71,149,213
1,2412,cap2,-71,163,213
1,2412,cap2,-70,103,213
1,2412,cap2,-70,104,213
1,2412,cap2,-70,126,213
1,2412,cap2,-70,166,213
1,2412,cap2,-69,105,213
1,2412,cap2,-69,169,213
1,2412,cap2,-67,107,213
1,2412,cap2,-67,122,213
1,2412,cap2,-67,126,213
1,2412,cap2,-67,128,213
1,2412,cap2,-67,164,213
1,2412,cap2,-67,169,213
1,2412,cap2,-66,125,213
1,2412,cap2,-66,127,213
1,2412,cap2,-66,170,213
1,2412,cap2,-65,107,213
1,2412,cap2,-65,129,213
1,2412,cap2,-65,165,213
1,2412,cap2,-64,124,213
1,2412,cap2,-64,129,213
1,2412,cap3,-95,128,213
1,2412,cap3,-94,127,213
1,2412,cap3,-94,129,213
1,2412,cap3,-94,130,213
1,2412,cap3,-93,106,213
1,2412,cap3,-93,127,213
1,2412,cap3,-93,128,213
1,2412,cap3,-93,141,213
1,2412,cap3,-92,128,213
1,2412,cap3,-92,141,213
1,2412,cap3,-92,142,213
1,2412,cap3,-92,144,213
1,2412,cap3,-91,103,213
1,2412,cap3,-91,108,213
