ssid,channel,source,signal_strength,floorid,roomid
1,2452,cap2,-65,1,214
1,2452,cap2,-64,1,214
1,2452,cap2,-63,1,214
1,2457,cap1,-80,1,214
1,2457,cap1,-74,1,214
1,2457,cap2,-63,1,214
1,2457,cap2,-58,1,214
1,2462,cap1,-82,1,214
1,2462,cap1,-78,1,214
1,2462,cap1,-77,1,214
1,2462,cap1,-76,1,214
1,2462,cap1,-75,1,214
1,2462,cap1,-74,1,214
1,2462,cap2,-64,1,214
1,2462,cap2,-60,1,214
1,2462,cap2,-58,1,214
1,0,cap3,100,1,214
1,2452,cap2,-60,4,214
1,2457,cap2,-61,4,214
1,2462,cap1,-86,4,214
1,2462,cap1,-84,4,214
1,2462,cap1,-83,4,214
1,2462,cap1,-82,4,214
1,2462,cap2,-63,4,214
1,2462,cap2,-59,4,214
1,2462,cap2,-56,4,214
1,2462,cap2,-52,4,214
1,0,cap3,100,4,214
1,2457,cap1,-88,7,214
1,2462,cap1,-90,7,214
1,2462,cap1,-87,7,214
1,2462,cap1,-83,7,214
1,2462,cap1,-80,7,214
1,2462,cap2,-54,7,214
1,2462,cap2,-52,7,214
1,2462,cap2,-51,7,214
1,2462,cap2,-49,7,214
1,2462,cap2,-45,7,214
1,2462,cap2,-44,7,214
1,0,cap3,100,7,214
1,2452,cap2,-63,10,214
1,2457,cap2,-63,10,214
1,2462,cap1,-82,10,214
1,2462,cap2,-62,10,214
1,2462,cap2,-61,10,214
1,0,cap3,100,10,214
1,2457,cap2,-59,13,214
1,2462,cap1,-86,13,214
1,2462,cap1,-84,13,214
1,2462,cap1,-83,13,214
1,2462,cap1,-78,13,214
1,2462,cap1,-75,13,214
1,2462,cap2,-65,13,214
1,2462,cap2,-63,13,214
1,2462,cap2,-61,13,214
1,2462,cap2,-54,13,214
1,0,cap3,100,13,214
1,2457,cap1,-79,16,214
1,2457,cap1,-75,16,214
1,2457,cap2,-52,16,214
1,2457,cap2,-50,16,214
1,2462,cap1,-82,16,214
1,2462,cap1,-81,16,214
