channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
2457.0,2452.0,0.0,-80.0,-65.0,0.0
2457.0,2452.0,0.0,-80.0,-61.0,0.0
2452.0,2462.0,0.0,-82.0,-55.0,0.0
2462.0,2462.0,0.0,-86.0,-59.0,0.0
2457.0,2447.0,0.0,-76.0,-73.0,0.0
2457.0,2457.0,0.0,-72.0,-56.0,0.0
2462.0,2462.0,0.0,-90.0,-54.0,0.0
2462.0,2457.0,0.0,-88.0,-51.0,0.0
2462.0,2462.0,0.0,-79.0,-67.0,0.0
2462.0,2457.0,0.0,-82.0,-63.0,0.0
2452.0,2457.0,0.0,-78.0,-78.0,0.0
0.0,2462.0,0.0,0.0,-59.0,0.0
2462.0,2462.0,0.0,-86.0,-65.0,0.0
2457.0,2452.0,0.0,-76.0,-58.0,0.0
2457.0,2447.0,0.0,-75.0,-60.0,0.0
2457.0,2457.0,0.0,-75.0,-52.0,0.0
2462.0,2462.0,0.0,-80.0,-75.0,0.0
2462.0,2452.0,0.0,-81.0,-71.0,0.0
2462.0,2462.0,0.0,-90.0,-72.0,0.0
2462.0,2452.0,0.0,-75.0,-61.0,0.0
2462.0,2452.0,0.0,-77.0,-59.0,0.0
2462.0,2457.0,0.0,-77.0,-58.0,0.0
2457.0,2462.0,0.0,-78.0,-58.0,0.0
2457.0,2457.0,0.0,-77.0,-61.0,0.0
2462.0,2462.0,0.0,-88.0,-54.0,0.0
2462.0,2457.0,0.0,-86.0,-71.0,0.0
2462.0,2457.0,0.0,-77.0,-57.0,0.0
2462.0,2457.0,0.0,-77.0,-62.0,0.0
0.0,2457.0,0.0,0.0,-51.0,0.0
2462.0,2457.0,0.0,-75.0,-55.0,0.0
2462.0,2457.0,0.0,-85.0,-48.0,0.0
2457.0,2452.0,0.0,-82.0,-65.0,0.0
2457.0,2452.0,0.0,-77.0,-54.0,0.0
2457.0,2462.0,0.0,-73.0,-50.0,0.0
2462.0,2452.0,0.0,-84.0,-67.0,0.0
2462.0,2457.0,0.0,-84.0,-52.0,0.0
2462.0,2462.0,0.0,-78.0,-63.0,0.0
2462.0,2462.0,0.0,-88.0,-49.0,0.0
2462.0,2462.0,0.0,-80.0,-46.0,0.0
2462.0,2462.0,0.0,-82.0,-54.0,0.0
2452.0,2457.0,0.0,-80.0,-64.0,0.0
2462.0,2462.0,0.0,-80.0,-53.0,0.0
2457.0,2462.0,0.0,-85.0,-57.0,0.0
2452.0,2462.0,0.0,-74.0,-68.0,0.0
2462.0,2457.0,0.0,-82.0,-62.0,0.0
2462.0,2457.0,0.0,-81.0,-69.0,0.0
2462.0,2457.0,0.0,-79.0,-60.0,0.0
2462.0,2462.0,0.0,-87.0,-64.0,0.0
2462.0,2462.0,0.0,-79.0,-67.0,0.0
2452.0,2457.0,2462.0,-76.0,-57.0,-93.0
2457.0,2457.0,0.0,-74.0,-55.0,0.0
2462.0,2462.0,0.0,-91.0,-59.0,0.0
2457.0,2452.0,0.0,-71.0,-67.0,0.0
2457.0,2457.0,0.0,-68.0,-71.0,0.0
2452.0,2462.0,0.0,-76.0,-58.0,0.0
2457.0,2462.0,0.0,-76.0,-62.0,0.0
2462.0,2452.0,0.0,-82.0,-54.0,0.0
2457.0,2457.0,0.0,-74.0,-57.0,0.0
2457.0,2462.0,0.0,-80.0,-52.0,0.0
2457.0,2457.0,0.0,-85.0,-51.0,0.0
2462.0,2462.0,2462.0,-88.0,-54.0,-96.0
2457.0,2457.0,0.0,-70.0,-59.0,0.0
2457.0,2457.0,0.0,-77.0,-58.0,0.0
2462.0,2457.0,0.0,-85.0,-70.0,0.0
2457.0,2457.0,0.0,-73.0,-61.0,0.0
2452.0,2462.0,0.0,-81.0,-58.0,0.0
2452.0,2452.0,0.0,-80.0,-62.0,0.0
2457.0,2452.0,0.0,-78.0,-61.0,0.0
2462.0,2457.0,0.0,-76.0,-53.0,0.0
2462.0,2452.0,2462.0,-83.0,-56.0,-99.0
2462.0,2462.0,0.0,-79.0,-63.0,0.0
0.0,2457.0,0.0,0.0,-71.0,0.0
2462.0,2452.0,0.0,-86.0,-67.0,0.0
2452.0,2452.0,0.0,-79.0,-59.0,0.0
2457.0,2452.0,0.0,-77.0,-64.0,0.0
2457.0,2462.0,0.0,-73.0,-55.0,0.0
2457.0,2462.0,0.0,-74.0,-58.0,0.0
2462.0,2462.0,2462.0,-88.0,-59.0,-86.0
2462.0,2462.0,2462.0,-79.0,-40.0,-101.0
2427.0,2432.0,0.0,-67.0,-72.0,0.0
2447.0,2432.0,0.0,-65.0,-72.0,0.0
2437.0,2432.0,0.0,-64.0,-68.0,0.0
2437.0,2442.0,2437.0,-69.0,-73.0,-94.0
2442.0,2442.0,0.0,-69.0,-66.0,0.0
2437.0,2437.0,2437.0,-68.0,-73.0,-94.0
0.0,2437.0,2437.0,0.0,-62.0,-88.0
2437.0,2437.0,2437.0,-60.0,-59.0,-87.0
2437.0,2437.0,2437.0,-62.0,-56.0,-92.0
2442.0,2437.0,2437.0,-56.0,-56.0,-90.0
2442.0,2432.0,2437.0,-65.0,-72.0,-93.0
2452.0,2437.0,2437.0,-73.0,-66.0,-93.0
2442.0,2432.0,2437.0,-59.0,-66.0,-93.0
0.0,2442.0,2437.0,0.0,-61.0,-92.0
2442.0,2437.0,2437.0,-53.0,-63.0,-91.0
2442.0,2442.0,2437.0,-57.0,-64.0,-90.0
2447.0,2432.0,0.0,-67.0,-67.0,0.0
2442.0,2442.0,2432.0,-58.0,-54.0,-90.0
2422.0,2427.0,2437.0,-80.0,-63.0,-90.0
2432.0,2432.0,2437.0,-53.0,-58.0,-89.0
2442.0,2427.0,0.0,-66.0,-74.0,0.0
2432.0,2437.0,2437.0,-67.0,-73.0,-90.0
2442.0,2432.0,2437.0,-62.0,-74.0,-90.0
2442.0,2437.0,2437.0,-63.0,-65.0,-91.0
2432.0,2437.0,2432.0,-67.0,-70.0,-78.0
2442.0,2442.0,2437.0,-52.0,-63.0,-92.0
