ssid,floorid,source,channel,signal_strength
1,1,cap1,2457,1
1,1,cap1,2462,4
1,1,cap2,2452,2
1,1,cap2,2457,1
1,1,cap2,2462,1
1,4,cap1,2462,3
1,4,cap2,2462,2
1,7,cap1,2462,4
1,7,cap2,2462,4
1,10,cap1,2462,1
1,13,cap1,2462,3
1,13,cap2,2462,2
1,16,cap1,2457,1
1,16,cap1,2462,3
1,16,cap2,2457,1
1,16,cap2,2462,2
1,19,cap1,2462,1
1,19,cap2,2462,3
1,22,cap1,2462,2
1,22,cap2,2457,1
1,25,cap1,2462,5
1,25,cap2,2462,2
1,28,cap1,2462,1
1,28,cap2,2457,1
1,28,cap2,2462,1
1,31,cap1,2462,2
1,31,cap2,2457,1
1,31,cap2,2462,1
1,34,cap1,2457,1
1,34,cap1,2462,2
1,34,cap2,2462,1
1,37,cap1,2462,1
1,37,cap2,2462,3
1,40,cap1,2462,2
1,40,cap2,2462,3
1,43,cap1,2457,1
1,43,cap1,2462,2
1,43,cap2,2462,3
1,46,cap1,2462,2
1,46,cap2,2457,2
1,49,cap1,2462,4
1,49,cap2,2462,2
1,52,cap1,2462,2
1,52,cap2,2462,2
1,55,cap1,2452,1
1,55,cap1,2462,1
1,55,cap2,2462,2
1,58,cap1,2457,1
1,58,cap1,2462,3
1,58,cap2,2462,2
1,61,cap1,2462,4
1,61,cap2,2462,2
1,61,cap3,2462,3
1,64,cap1,2462,2
1,64,cap2,2457,3
1,64,cap2,2462,1
1,67,cap1,2452,1
1,67,cap1,2462,2
1,67,cap2,2452,1
1,67,cap2,2457,1
1,67,cap2,2462,2
1,70,cap1,2462,3
1,70,cap2,2457,1
1,70,cap2,2462,1
1,70,cap3,2462,1
1,73,cap1,2462,2
1,73,cap2,2452,1
1,73,cap2,2457,1
1,73,cap2,2462,2
1,76,cap1,2462,4
1,76,cap2,2462,1
1,79,cap1,2462,4
1,79,cap2,2462,1
1,79,cap3,2462,4
1,103,cap1,2437,1
1,103,cap1,2447,1
1,103,cap2,2432,1
1,103,cap2,2437,1
1,103,cap2,2442,1
1,106,cap1,2437,1
1,106,cap1,2447,1
1,106,cap2,2437,1
1,106,cap2,2442,1
1,106,cap2,2447,1
1,106,cap3,2437,4
1,109,cap1,2442,2
1,109,cap2,2437,1
1,109,cap3,2437,3
1,109,cap3,2442,1
1,112,cap1,2452,1
1,112,cap2,2437,1
1,112,cap2,2442,1
1,112,cap2,2447,2
1,112,cap3,2437,2
1,115,cap1,2442,1
1,115,cap2,2437,1
1,115,cap2,2442,1
1,115,cap3,2437,2
1,118,cap1,2442,1
1,118,cap1,2447,1
1,118,cap2,2442,2
1,118,cap3,2437,1
1,121,cap1,2442,1
1,121,cap2,2432,2
1,121,cap2,2442,2
1,124,cap1,2442,1
1,124,cap2,2437,1
1,124,cap3,2437,3
1,127,cap2,2427,1
1,127,cap2,2432,1
1,127,cap3,2437,1
1,130,cap2,2437,1
1,130,cap2,2452,1
1,130,cap3,2432,1
1,130,cap3,2437,1
1,133,cap1,2442,1
1,133,cap2,2442,2
1,133,cap2,2447,1
1,133,cap3,2437,3
1,136,cap1,2427,1
1,136,cap1,2442,2
1,136,cap2,2437,1
1,136,cap2,2447,1
1,136,cap3,2437,1
1,139,cap2,2437,1
1,139,cap3,2437,2
1,142,cap1,2442,3
1,142,cap2,2432,1
1,142,cap2,2442,2
1,142,cap3,2432,1
1,145,cap1,2437,1
1,145,cap2,2432,1
1,145,cap2,2437,1
1,145,cap2,2442,1
1,145,cap3,2437,1
1,145,cap3,2442,1
1,148,cap1,2452,1
1,148,cap2,2432,1
