ssid,floorid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,101,2417,2412,2412,51,37,12
1,101,2417,2412,2412,51,37,16
1,101,2417,2412,2412,51,38,12
1,101,2417,2412,2412,51,38,16
1,101,2417,2412,2412,53,37,12
1,101,2417,2412,2412,53,37,16
1,101,2417,2412,2412,53,38,12
1,101,2417,2412,2412,53,38,16
1,101,2417,2417,2412,51,40,12
1,101,2417,2417,2412,51,40,16
1,101,2417,2417,2412,51,43,12
1,101,2417,2417,2412,51,43,16
1,101,2417,2417,2412,51,47,12
1,101,2417,2417,2412,51,47,16
1,101,2417,2417,2412,53,40,12
1,101,2417,2417,2412,53,40,16
1,101,2417,2417,2412,53,43,12
1,101,2417,2417,2412,53,43,16
1,101,2417,2417,2412,53,47,12
1,101,2417,2417,2412,53,47,16
1,101,2417,2422,2412,51,42,12
1,101,2417,2422,2412,51,42,16
1,101,2417,2422,2412,53,42,12
1,101,2417,2422,2412,53,42,16
1,189,2442,2442,2437,43,33,16
1,189,2442,2442,2437,43,33,20
1,189,2442,2442,2437,43,33,25
1,189,2442,2442,2437,43,43,16
1,189,2442,2442,2437,43,43,20
1,189,2442,2442,2437,43,43,25
1,189,2442,2442,2437,48,33,16
1,189,2442,2442,2437,48,33,20
1,189,2442,2442,2437,48,33,25
1,189,2442,2442,2437,48,43,16
1,189,2442,2442,2437,48,43,20
1,189,2442,2442,2437,48,43,25
1,189,2442,2442,2442,43,33,26
1,189,2442,2442,2442,43,43,26
1,189,2442,2442,2442,48,33,26
1,189,2442,2442,2442,48,43,26
2,189,2442,2442,2437,40,37,14
2,189,2442,2442,2437,40,37,15
2,189,2442,2442,2437,40,37,19
2,189,2442,2442,2437,40,41,14
2,189,2442,2442,2437,40,41,15
2,189,2442,2442,2437,40,41,19
2,189,2442,2442,2442,40,37,18
2,189,2442,2442,2442,40,37,20
2,189,2442,2442,2442,40,41,18
2,189,2442,2442,2442,40,41,20
2,189,2442,2447,2437,40,36,14
2,189,2442,2447,2437,40,36,15
2,189,2442,2447,2437,40,36,19
2,189,2442,2447,2442,40,36,18
2,189,2442,2447,2442,40,36,20
