ssid,latitude,longitude,floorid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
2,7.065813792,125.59648359999998,182,2442,2442,2442,-56,-56,-56
2,7.065813792,125.59648359999998,182,2452,2452,2452,-71,-71,-71
2,7.065754321,125.59647199999999,122,2462,2462,2462,-84,-84,-84
2,7.065761724,125.5964248,116,2462,2462,2462,-55,-55,-55
2,7.065772202000001,125.5964798,142,2452,2452,2452,-70,-70,-70
2,7.065793335,125.596451,155,2462,2462,2462,-82,-82,-82
2,7.065766212000001,125.5964396,125,2462,2462,2462,-83,-83,-83
2,7.065766551,125.596465,133,2462,2462,2462,-62,-62,-62
2,7.065768042,125.5964915,141,2457,2457,2457,-87,-87,-87
2,7.065770958,125.5964274,126,2462,2462,2462,-82,-82,-82
2,7.06577753,125.5964949,151,2462,2462,2462,-52,-52,-52
2,7.065785265,125.59644740000002,145,2462,2462,2462,-56,-56,-56
2,7.065814044,125.5963943,160,2462,2462,2462,-70,-70,-70
2,7.065786966,125.59638419999999,130,2462,2462,2462,-47,-47,-47
1,7.065757898999999,125.5964619,123,2452,2452,2452,-70,-70,-70
1,7.0657815170000005,125.59648349999999,152,2437,2437,2437,-81,-81,-81
1,7.065790175,125.59648680000001,162,2437,2437,2437,-84,-84,-84
1,7.065795661,125.5963876,140,2447,2447,2447,-42,-42,-42
2,7.065821785,125.5964248,178,2437,2437,2437,-76,-76,-76
2,7.065837087,125.5964439,189,2442,2442,2442,-80,-80,-80
1,7.0657427539999995,125.5964558,103,2447,2447,2447,-61,-61,-61
1,7.065749742,125.596433,105,2437,2437,2437,-60,-60,-60
1,7.0657815170000005,125.59648349999999,152,2437,2437,2437,-57,-57,-57
1,7.065785182999999,125.59647220000001,153,2447,2447,2447,-67,-67,-67
1,7.0658113039999995,125.5964582,175,2442,2442,2442,-90,-90,-90
2,7.065786966,125.59638419999999,130,2462,2462,2462,-83,-83,-83
2,7.0657919179999995,125.596399,139,2462,2462,2462,-57,-57,-57
2,7.065743091,125.5964811,111,2462,2462,2462,-84,-84,-84
2,7.065753406000001,125.5964483,114,2462,2462,2462,-92,-92,-92
2,7.065753569,125.5964215,106,2462,2462,2462,-57,-57,-57
2,7.065785182999999,125.59647220000001,153,2457,2457,2457,-65,-65,-65
2,7.065790175,125.59648680000001,162,2462,2462,2462,-81,-81,-81
