ssid,floorid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,190,2412,2412,2417,-92,-95,-68
1,190,2412,2412,2417,-92,-95,-65
1,190,2412,2412,2417,-92,-95,-64
1,190,2412,2412,2417,-92,-95,-63
1,190,2412,2412,2417,-92,-94,-68
1,190,2412,2412,2417,-92,-94,-65
1,190,2412,2412,2417,-92,-94,-64
1,190,2412,2412,2417,-92,-94,-63
1,190,2412,2412,2417,-92,-92,-68
1,190,2412,2412,2417,-92,-92,-65
1,190,2412,2412,2417,-92,-92,-64
1,190,2412,2412,2417,-92,-92,-63
1,190,2412,2412,2417,-92,-89,-68
1,190,2412,2412,2417,-92,-89,-65
1,190,2412,2412,2417,-92,-89,-64
1,190,2412,2412,2417,-92,-89,-63
1,190,2412,2412,2417,-92,-87,-68
1,190,2412,2412,2417,-92,-87,-65
1,190,2412,2412,2417,-92,-87,-64
1,190,2412,2412,2417,-92,-87,-63
1,190,2412,2412,2417,-88,-95,-68
1,190,2412,2412,2417,-88,-95,-65
1,190,2412,2412,2417,-88,-95,-64
1,190,2412,2412,2417,-88,-95,-63
1,190,2412,2412,2417,-88,-94,-68
1,190,2412,2412,2417,-88,-94,-65
1,190,2412,2412,2417,-88,-94,-64
1,190,2412,2412,2417,-88,-94,-63
1,190,2412,2412,2417,-88,-92,-68
1,190,2412,2412,2417,-88,-92,-65
1,190,2412,2412,2417,-88,-92,-64
1,190,2412,2412,2417,-88,-92,-63
1,190,2412,2412,2417,-88,-89,-68
1,190,2412,2412,2417,-88,-89,-65
1,190,2412,2412,2417,-88,-89,-64
1,190,2412,2412,2417,-88,-89,-63
1,190,2412,2412,2417,-88,-87,-68
1,190,2412,2412,2417,-88,-87,-65
1,190,2412,2412,2417,-88,-87,-64
1,190,2412,2412,2417,-88,-87,-63
1,190,2412,2412,2417,-86,-95,-68
1,190,2412,2412,2417,-86,-95,-65
1,190,2412,2412,2417,-86,-95,-64
1,190,2412,2412,2417,-86,-95,-63
1,190,2412,2412,2417,-86,-94,-68
1,190,2412,2412,2417,-86,-94,-65
1,190,2412,2412,2417,-86,-94,-64
1,190,2412,2412,2417,-86,-94,-63
1,190,2412,2412,2417,-86,-92,-68
1,190,2412,2412,2417,-86,-92,-65
1,190,2412,2412,2417,-86,-92,-64
1,190,2412,2412,2417,-86,-92,-63
1,190,2412,2412,2417,-86,-89,-68
1,190,2412,2412,2417,-86,-89,-65
1,190,2412,2412,2417,-86,-89,-64
1,190,2412,2412,2417,-86,-89,-63
1,190,2412,2412,2417,-86,-87,-68
1,190,2412,2412,2417,-86,-87,-65
1,190,2412,2412,2417,-86,-87,-64
1,190,2412,2412,2417,-86,-87,-63
1,190,2412,2412,2417,-84,-95,-68
1,190,2412,2412,2417,-84,-95,-65
1,190,2412,2412,2417,-84,-95,-64
1,190,2412,2412,2417,-84,-95,-63
1,190,2412,2412,2417,-84,-94,-68
1,190,2412,2412,2417,-84,-94,-65
1,190,2412,2412,2417,-84,-94,-64
1,190,2412,2412,2417,-84,-94,-63
1,190,2412,2412,2417,-84,-92,-68
1,190,2412,2412,2417,-84,-92,-65
1,190,2412,2412,2417,-84,-92,-64
1,190,2412,2412,2417,-84,-92,-63
1,190,2412,2412,2417,-84,-89,-68
1,190,2412,2412,2417,-84,-89,-65
1,190,2412,2412,2417,-84,-89,-64
1,190,2412,2412,2417,-84,-89,-63
1,190,2412,2412,2417,-84,-87,-68
1,190,2412,2412,2417,-84,-87,-65
1,190,2412,2412,2417,-84,-87,-64
1,190,2412,2412,2417,-84,-87,-63
1,190,2412,2412,2422,-92,-95,-67
1,190,2412,2412,2422,-92,-94,-67
1,190,2412,2412,2422,-92,-92,-67
1,190,2412,2412,2422,-92,-89,-67
1,190,2412,2412,2422,-92,-87,-67
1,190,2412,2412,2422,-88,-95,-67
1,190,2412,2412,2422,-88,-94,-67
1,190,2412,2412,2422,-88,-92,-67
1,190,2412,2412,2422,-88,-89,-67
1,190,2412,2412,2422,-88,-87,-67
1,190,2412,2412,2422,-86,-95,-67
1,190,2412,2412,2422,-86,-94,-67
1,190,2412,2412,2422,-86,-92,-67
1,190,2412,2412,2422,-86,-89,-67
1,190,2412,2412,2422,-86,-87,-67
1,190,2412,2412,2422,-84,-95,-67
1,190,2412,2412,2422,-84,-94,-67
1,190,2412,2412,2422,-84,-92,-67
1,190,2412,2412,2422,-84,-89,-67
1,190,2412,2412,2422,-84,-87,-67
1,112,2452,2437,2437,-73,-66,-93
1,112,2452,2437,2437,-73,-66,-91
1,112,2452,2442,2437,-73,-68,-93
1,112,2452,2442,2437,-73,-68,-91
1,112,2452,2447,2437,-73,-70,-93
1,112,2452,2447,2437,-73,-70,-91
1,112,2452,2447,2437,-73,-68,-93
1,112,2452,2447,2437,-73,-68,-91
1,152,2442,2437,2437,-63,-62,-87
1,152,2442,2437,2437,-63,-62,-86
1,152,2442,2437,2437,-58,-62,-87
1,152,2442,2437,2437,-58,-62,-86
1,152,2442,2437,2437,-57,-62,-87
1,152,2442,2437,2437,-57,-62,-86
1,152,2442,2437,2442,-63,-62,-87
1,152,2442,2437,2442,-58,-62,-87
1,152,2442,2437,2442,-57,-62,-87
1,212,2452,2452,2457,-91,-92,-60
1,212,2452,2452,2457,-91,-91,-60
1,212,2452,2452,2457,-91,-89,-60
1,212,2452,2452,2457,-91,-85,-60
1,212,2452,2452,2457,-90,-92,-60
1,212,2452,2452,2457,-90,-91,-60
1,212,2452,2452,2457,-90,-89,-60
1,212,2452,2452,2457,-90,-85,-60
1,212,2452,2452,2457,-89,-92,-60
1,212,2452,2452,2457,-89,-91,-60
1,212,2452,2452,2457,-89,-89,-60
1,212,2452,2452,2457,-89,-85,-60
1,212,2452,2452,2457,-87,-92,-60
1,212,2452,2452,2457,-87,-91,-60
1,212,2452,2452,2457,-87,-89,-60
1,212,2452,2452,2457,-87,-85,-60
1,212,2452,2452,2457,-86,-92,-60
1,212,2452,2452,2457,-86,-91,-60
1,212,2452,2452,2457,-86,-89,-60
1,212,2452,2452,2457,-86,-85,-60
1,212,2452,2452,2462,-91,-92,-65
1,212,2452,2452,2462,-91,-92,-61
1,212,2452,2452,2462,-91,-91,-65
1,212,2452,2452,2462,-91,-91,-61
1,212,2452,2452,2462,-91,-89,-65
1,212,2452,2452,2462,-91,-89,-61
1,212,2452,2452,2462,-91,-85,-65
1,212,2452,2452,2462,-91,-85,-61
1,212,2452,2452,2462,-90,-92,-65
1,212,2452,2452,2462,-90,-92,-61
1,212,2452,2452,2462,-90,-91,-65
1,212,2452,2452,2462,-90,-91,-61
1,212,2452,2452,2462,-90,-89,-65
1,212,2452,2452,2462,-90,-89,-61
1,212,2452,2452,2462,-90,-85,-65
1,212,2452,2452,2462,-90,-85,-61
1,212,2452,2452,2462,-89,-92,-65
1,212,2452,2452,2462,-89,-92,-61
1,212,2452,2452,2462,-89,-91,-65
1,212,2452,2452,2462,-89,-91,-61
1,212,2452,2452,2462,-89,-89,-65
1,212,2452,2452,2462,-89,-89,-61
1,212,2452,2452,2462,-89,-85,-65
1,212,2452,2452,2462,-89,-85,-61
1,212,2452,2452,2462,-87,-92,-65
1,212,2452,2452,2462,-87,-92,-61
1,212,2452,2452,2462,-87,-91,-65
1,212,2452,2452,2462,-87,-91,-61
1,212,2452,2452,2462,-87,-89,-65
1,212,2452,2452,2462,-87,-89,-61
1,212,2452,2452,2462,-87,-85,-65
1,212,2452,2452,2462,-87,-85,-61
1,212,2452,2452,2462,-86,-92,-65
1,212,2452,2452,2462,-86,-92,-61
1,212,2452,2452,2462,-86,-91,-65
1,212,2452,2452,2462,-86,-91,-61
1,212,2452,2452,2462,-86,-89,-65
1,212,2452,2452,2462,-86,-89,-61
1,212,2452,2452,2462,-86,-85,-65
1,212,2452,2452,2462,-86,-85,-61
1,212,2452,2457,2457,-91,-82,-60
1,212,2452,2457,2457,-90,-82,-60
1,212,2452,2457,2457,-89,-82,-60
1,212,2452,2457,2457,-87,-82,-60
1,212,2452,2457,2457,-86,-82,-60
1,212,2452,2457,2462,-91,-82,-65
1,212,2452,2457,2462,-91,-82,-61
1,212,2452,2457,2462,-90,-82,-65
1,212,2452,2457,2462,-90,-82,-61
1,212,2452,2457,2462,-89,-82,-65
1,212,2452,2457,2462,-89,-82,-61
1,212,2452,2457,2462,-87,-82,-65
1,212,2452,2457,2462,-87,-82,-61
1,212,2452,2457,2462,-86,-82,-65
1,212,2452,2457,2462,-86,-82,-61
1,212,2457,2452,2457,-82,-92,-60
1,212,2457,2452,2457,-82,-91,-60
1,212,2457,2452,2457,-82,-89,-60
1,212,2457,2452,2457,-82,-85,-60
1,212,2457,2452,2462,-82,-92,-65
1,212,2457,2452,2462,-82,-92,-61
1,212,2457,2452,2462,-82,-91,-65
